study,questionnaire,question,item,concept,text_de,instruction_de,text,instruction,answer_list,scale,filter,goto,description
soep-core,soep-core-2012-e1,10,,,"Welche der im Folgenden genannten Verzögerungen, Störungen oder Behinderungen wurden bei Ihrem Kind festgestellt?",Bitte alles Zutreffende ankreuzen.,"Has your child been diagnosed with any of the following developmental delays, disorders, or disabilities? ",Please check all that apply.,,txt,9;astor=1 | 2,,
soep-core,soep-core-2012-e1,10,astor1,astor1,"Wahrnehmung (Sehen, Hören)",,"sensory (sight, hearing)",,,bin,,,
soep-core,soep-core-2012-e1,10,astor2,astor2,"Motorik (Greifen, Krabbeln, Laufen)",,"motor functions (grasping, crawling, walking)",,,bin,,,
soep-core,soep-core-2012-e1,10,astor3,astor3,Neurologische Störung (Krämpfe u.ä.),,neurological disorders (including cramps),,,bin,,,
soep-core,soep-core-2012-e1,10,astor4,astor4,"Sprache (Lautbildung, Spracherwerbsstörung)",,"speech (pronunciation, speech acquisition disorders)",,,bin,,,
soep-core,soep-core-2012-e1,10,astor5,astor5,"Regulation (untröstbares Schreien, dauerhafte Schlaf- oder Essstörung)",,"regulatory system (inconsolable crying, ongoing sleeping or eating disorders)",,,bin,,,
soep-core,soep-core-2012-e1,10,astor6,astor6,Chronische Krankheit,,chronic illness,,,bin,,,
soep-core,soep-core-2012-e1,10,astor7,astor7,Körperliche Behinderung,,physical disability,,,bin,,,
soep-core,soep-core-2012-e1,10,astor8,astor8,Geistige Behinderung,,mental disability,,,bin,,,
soep-core,soep-core-2012-e1,10,astor9,astor9,Sonstiges,,other,,,bin,,,
soep-core,soep-core-2012-e1,11,,,Um Ihr wievieltes Kind handelt es sich bei dem Neugeborenen?,,"Is the newborn your first, second, third, etc. child? (Please state)",,,txt,,,
soep-core,soep-core-2012-e1,11,aanz,aanz,Es ist das … te Kind.,,He/she is my … child,,,int,,,
soep-core,soep-core-2012-e1,12,,aleib,Handelt es sich um Ihr leibliches Kind?,,Is the newborn your biological child?,,aleib,cat,,2 @ 15,leibliches Kind
soep-core,soep-core-2012-e1,13,,aplan,War Ihre Schwangerschaft eher ungeplant oder geplant?,,Was your pregnancy more unplanned or more planned?,,aplan,cat,12;aleib=1,,geplante Schwangerschaft
soep-core,soep-core-2012-e1,14,,,Wie war Ihr körperliches und seelisches Befinden im letzten Drittel der Schwangerschaft und in den ersten drei Monaten nach der Geburt?,,How were you feeling physically and mentally during the last third of your pregnancy and during the first three months after giving birth?,,,txt,,,Körperliches Befinden
soep-core,soep-core-2012-e1,14,abef1,abef1,[Körperliches Befinden] Im letzten Drittel der Schwangerschaft,,Physical State: In the last third of your pregnancy,,abefx,cat,,,In den ersten drei Monaten nach der Geburt
soep-core,soep-core-2012-e1,14,abef2,abef2,[Körperliches Befinden] In den ersten drei Monaten nach der Geburt,,Physical State:  In the first three months after childbirth,,abefx,cat,,,Seelisches Befinden
soep-core,soep-core-2012-e1,14,abef3,abef3,[Seelisches Befinden] Im letzten Drittel der Schwangerschaft,,Mental State: In the last third of your pregnancy,,abefx,cat,,,In den ersten drei Monaten nach der Geburt
soep-core,soep-core-2012-e1,14,abef4,abef4,[Seelisches Befinden] In den ersten drei Monaten nach der Geburt,,Mental State: In the first three months after childbirth,,abefx,cat,,,Lebensumstände nach Geburt
soep-core,soep-core-2012-e1,15,,aver1,Bedingt durch die Geburt eines Kindes verändern sich ja die Lebensumstände.Man macht neue Erfahrungen und entwickelt neue Erwartungen an die Zukunft.Inwieweit stimmen Sie den folgenden Aussagen zu?,,Life changes after the birth of a child. You experience new things and start to have new expectations for the future. To what extent do you agree with the following statements?,,,txt,,,
soep-core,soep-core-2012-e1,15,aver2,aver2,Meine Lebensumstände haben sich sehr stark verändert ,,My life has changed significantly,,averx,cat,,,
soep-core,soep-core-2012-e1,15,aver3,aver3,Ich bin oft am Ende meiner Kräfte,,I often feel like I’m running out of energy,,averx,cat,,,
soep-core,soep-core-2012-e1,15,aver4,aver4,Meine Rolle als Mutter ist für mich sehr befriedigend,,I am satisfied with my role as a mother,,averx,cat,,,
soep-core,soep-core-2012-e1,15,aver5,aver5,Ich fühle mich den neuen Aufgaben und Anforderungen oft nicht gewachsen ,,I often do not feel up to the new tasks and demands of being a mother,,averx,cat,,,
soep-core,soep-core-2012-e1,15,aver6,aver6,Ich lerne über das Kind auch andere Menschen kennen und knüpfe neue Kontakte ,,I am meeting new people and making new contacts through my child,,averx,cat,,,
soep-core,soep-core-2012-e1,15,aver7,aver7,"Ich leide darunter, auf meine Rolle als Mutter eingeschränkt zu sein ",,I am suffering from being restricted to my role as a mother,,averx,cat,,,
soep-core,soep-core-2012-e1,15,aver8,aver8,"Meinem Kind viel Zärtlichkeit zu geben, ist mir sehr wichtig ",,It’s important to me to show my child plenty of affection,,averx,cat,,,
soep-core,soep-core-2012-e1,15,aver9,aver9,Die Gesundheit meines Kindes macht mir Sorgen ,,I’m worried about my child’s health,,averx,cat,,,
soep-core,soep-core-2012-e1,16,,avat,Lebt der Vater des Kindes hier im Haushalt?,,Does the father live in the household?,,avat,cat,,,Unterstützung Betreuung
soep-core,soep-core-2012-e1,17,,aunt2,Wie stark fühlen Sie sich von Ihrem Partner bei der Betreuung des Kindes unterstützt?,,How much do you feel your partner helps you in looking after the child?,,aunt2,cat,,,Hauptbetreuungsperson
soep-core,soep-core-2012-e1,18,,abet1,Sind Sie selbst die Hauptbetreuungsperson Ihres Kindes?,,Are you the child’s main caregiver?,,abet,cat,,,
soep-core,soep-core-2012-e1,19,,,"Wenn Sie einmal an eine normale Woche denken:Gibt es außer Ihnen andere Personen oder Einrichtungen, die die Betreuung des Kindes zeitweise übernehmen? Wenn ja, welche Personen oder Einrichtungen sind das und wie viele Stunden pro Woche übernehmen sie die Betreuung?",,"If you think about a normal week, is there anybody else who regularly spends time looking after your child? If so, who is it and how many hours a week do they spend looking after the child?",,,txt,,,
soep-core,soep-core-2012-e1,19,asit1,asit1,(Ehe) Partner,,Spouse / partner,,,bin,,,
soep-core,soep-core-2012-e1,19,asit2,asit2,Großeltern des Kindes,,Grandparents of the child,,,bin,,,
soep-core,soep-core-2012-e1,19,asit3,asit3,Ältere Geschwister des Kindes,,Older siblings,,,bin,,,
soep-core,soep-core-2012-e1,19,asit4,asit4,Andere Verwandte,,Other relatives,,,bin,,,
soep-core,soep-core-2012-e1,19,asit5,asit5,Tagesmutter,,Paid caregiver (outside the home),,,bin,,,
soep-core,soep-core-2012-e1,19,asit6,asit6,Krippe,,Nursery school (child care center),,,bin,,,
soep-core,soep-core-2012-e1,19,asit7,asit7,"Andere (z.B. Babysitter, Nachbarn)",,"Other (e.g., babysitter, neighbor)",,,bin,,,
soep-core,soep-core-2012-e1,19,asitno,asitno,"Nein, Niemand",,"No, nobody",,,bin,,,
soep-core,soep-core-2012-e1,19,astd1,astd1,Stunden [(Ehe) Partner],,Hours [spouse / partner],,,int,19:asit1=1,,
soep-core,soep-core-2012-e1,19,astd2,astd2,Stunden [Großeltern des Kindes],,Hours [grandparents],,,int,19:asit2=1,,
soep-core,soep-core-2012-e1,19,astd3,astd3,Stunden [Ältere Geschwister des Kindes],,Hours [siblings],,,int,19:asit3=1,,
soep-core,soep-core-2012-e1,19,astd4,astd4,Stunden [Andere Verwandte],,Hours [other relatives],,,int,19:asit4=1,,
soep-core,soep-core-2012-e1,19,astd5,astd5,Stunden [Tagesmutter],,Hours [family daycare provider],,,int,19:asit5=1,,
soep-core,soep-core-2012-e1,19,astd6,astd6,Stunden [Krippe],,Hours [nursery school],,,int,19:asit6=1,,
soep-core,soep-core-2012-e1,19,astd7,astd7,"Stunden [Andere (z.B. Babysitter, Nachbarn)]",,Hours [other],,,int,19:asit7=1,,Eigenschaften Kind
soep-core,soep-core-2012-e1,20,,,Wie sehen Sie ihr Kind heute? Inwieweit treffen folgende Aussagen zu? ,,What’s your current impression of your child? To what extent do you agree with the following statements?,,,txt,,,
soep-core,soep-core-2012-e1,20,aakt1,aakt1,Mein Kind ist meist fröhlich und zufrieden ,,My child is generally cheerful and happy,,aaktx,cat,,,
soep-core,soep-core-2012-e1,20,aakt2,aakt2,Mein Kind ist leicht erregbar und weint häufig,,My child is easily irritated and cries a lot,,aaktx,cat,,,
soep-core,soep-core-2012-e1,20,aakt3,aakt3,Mein Kind ist schwer zu trösten ,,My child is difficult to comfort when upset,,aaktx,cat,,,
soep-core,soep-core-2012-e1,20,aakt4,aakt4,Mein Kind ist neugierig und aktiv ,,My child is curious and active,,aaktx,cat,,,
soep-core,soep-core-2012-e1,20,aakt5,aakt5,Mein Kind ist eher zurückhaltend ,,My child tends to be shy,,aaktx,cat,,,
soep-core,soep-core-2012-e1,Interviewer,,,Welches Datum haben wir heute?,,,,,txt,,,
soep-core,soep-core-2012-e1,Interviewer,datt,datt,Tag,,,,,int,,,
soep-core,soep-core-2012-e1,Interviewer,datm,datm,Monat,,,,,int,,,
soep-core,soep-core-2012-e1,Interviewer,listnr,listnr,Listen-Nr.,,,,,int,,,
soep-core,soep-core-2012-e1,Interviewer,lfdnr,lfdnr,Lfd. Nr.,,,,,int,,,
soep-core,soep-core-2012-e1,Interviewer,intnr,intnr,Abrechnungs-Nummer,,,,,int,,,
soep-core,soep-core-2012-e2,0,,,"Die ersten Lebensjahre eines Kindes sind geprägt von einer Vielfalt von Entwicklungsschritten. Für die Wissenschaft ist diese wichtige Lebensspanne von großem Interesse. In diesem kurzen Fragebogen geht es um Ihre Kinder, die im Jahr 2009 geboren wurden. Unsere Fragen beziehen sich auf Ihre persönlichen Erfahrungen und die Entwicklung des Kindes. 
Ihre Mitarbeit ist freiwillig. 
Wir bitten Sie aber herzlich,
– unserem Mitarbeiter die Fragen zu beantworten 
– oder den Fragebogen sorgfältig selbst auszufüllen.",,,,,txt,,,
soep-core,soep-core-2012-e2,0,1,,Bitte vor Übergabe unbedingt eintragen lt. Adressenprotokoll:,,,,,txt,,,
soep-core,soep-core-2012-e2,0,hnr,hnr,Nr. des Haushalts:,,,,,int,,,
soep-core,soep-core-2012-e2,0,mname,mname,Vorname der Mutter:,Bitte in Druckbuchstaben,,,,chr,,,
soep-core,soep-core-2012-e2,0,mpnr,mpnr,Person Nr.:,,,,,int,,,
soep-core,soep-core-2012-e2,1,,,Wie heißt Ihr Kind?,Bitte in Druckbuchstaben,What’s your child’s name?,Please print in capital letters.,,txt,,,
soep-core,soep-core-2012-e2,1,bname,bname,Vorname des Kindes,,Child’s first name,,,chr,,,
soep-core,soep-core-2012-e2,1,bpnr,bpnr,Personen Nr.,,Person ID,,,int,,,
soep-core,soep-core-2012-e2,2,,,In welchem Jahr und Monat wurde Ihr Kind geboren?,,In what year and month was your child born?,,,txt,,,
soep-core,soep-core-2012-e2,2,bgebj,bgebj,2009,,2009,,,bin,,,
soep-core,soep-core-2012-e2,2,bgebm,bgebm,Monat,,Month,,,int,,,
soep-core,soep-core-2012-e2,3,,bstil1,"Haben Sie Ihr Kind gestillt und wenn ja, wie lange?",,"Did you breastfeed your baby? If so, how long?",,bstil1,cat,,,"Researcher Notes:
Antwort ""Habe länger gestillt"" in nächster Frage codieren (BSTIL2).
"
soep-core,soep-core-2012-e2,3,bstil2,bstil2,Habe länger gestillt und zwar,,I breastfed for a longer period: … months,,,int,,,
soep-core,soep-core-2012-e2,4,,,"Wie sehen Sie Ihr Kind heute?
Inwieweit treffen die folgenden Aussagen zu?",,What’s your current impression of your child? To what extent do you agree with the following statements?,,,txt,,,"Researcher Notes:
Statement 1 = BAKT1
**Statement 2 = BAKT2
**Statement 3 = BAKT3
**Statement 4 = BAKT4
**Statement 5 = BAKT5
**Statement 6 = BAKT6
**Statement 7 = BAKT7
"
soep-core,soep-core-2012-e2,4,bakt1,bakt1,Mein Kind ist meist fröhlich und zufrieden,,My child is generally cheerful and happy,,bakt x,cat,,,
soep-core,soep-core-2012-e2,4,bakt2,bakt2,Mein Kind ist leicht erregbar und weint häufig,,My child is easily irritated and cries a lot ,,bakt x,cat,,,
soep-core,soep-core-2012-e2,4,bakt3,bakt3,Mein Kind ist schwer zu trösten,,My child is difficult to comfort when upset,,bakt x,cat,,,
soep-core,soep-core-2012-e2,4,bakt4,bakt4,Mein Kind ist neugierig und aktiv,,My child is curious and active,,bakt x,cat,,,
soep-core,soep-core-2012-e2,4,bakt5,bakt5,"Mein Kind ist gesprächig, redet gern",,My child is communicative and likes to talk ,,bakt x,cat,,,
soep-core,soep-core-2012-e2,4,bakt6,bakt6,"Mein Kind zeigt Mitgefühl, wennn andere traurig sin",,My child shows empathy when others are sad,,bakt x,cat,,,
soep-core,soep-core-2012-e2,4,bakt7,bakt7,Die Gesundheit meines Kindes macht mir Sorgen,,I’m worried about my child’s health,,bakt x,cat,,,
soep-core,soep-core-2012-e2,5,,bges1,"Gab es bei Ihrem Kind in den letzten 12 Monaten gesundheitliche Probleme, die einen Krankenhausaufenthalt notwendig machten?",,Did your child experience health problems in the last 12 months that required a hospital stay?,,bges1,cat,,,
soep-core,soep-core-2012-e2,5,bges2,bges2,[Ja] und zwar … Tage,,"[Yes], … days",,,int,5;bges1=1,,"Filter:
ASK ONLY IF Q501 : BGES1=1
"
soep-core,soep-core-2012-e2,6,,,Ist von einem Arzt bei Ihrem Kind einmal eine der folgenden Erkrankungen oder Störungen festgestellt worden?,Bitte alles Zutreffende ankreuzen!,Has your child been diagnosed by a doctor as having one of the following health conditions or impairments?,Please mark all that apply.,,txt,,,"Researcher Notes:
1 = BSTOR01
**2 = BSTOR02
**3 = BSTOR03
**4 = BSTOR04
**5 = BSTOR05
**6 = BSTOR06
**7 = BSTOR07
**8 = BSTOR08
**9 = BSTOR09
**10 = BSTOR10
**11 = BSTOR11
**12 = BSTOR12
**13 = BSTOR14
"
soep-core,soep-core-2012-e2,6,bstor01,bstor01,Asthma,,Asthma,,,bin,,,
soep-core,soep-core-2012-e2,6,bstor02,bstor02,Chronische Bronchitis,,Chronic bronchitis,,,bin,,,
soep-core,soep-core-2012-e2,6,bstor03,bstor03,Spastische / akute Bronchitis,,Spastic / acute bronchitis,,,bin,,,
soep-core,soep-core-2012-e2,6,bstor04,bstor04,Pseudokrupp / Kruppsyndrom,,Pseudocroup / Croup syndrome,,,bin,,,
soep-core,soep-core-2012-e2,6,bstor05,bstor05,Mittelohrentzündung,,Middle-ear inflammation,,,bin,,,
soep-core,soep-core-2012-e2,6,bstor06,bstor06,Heuschnupfen,,Hay fever,,,bin,,,
soep-core,soep-core-2012-e2,6,bstor07,bstor07,Neurodermitis,,Neurodermatitis,,,bin,,,
soep-core,soep-core-2012-e2,6,bstor08,bstor08,"Fehlsichtigkeit (z.B. Kurz- bzw. Weitsichtigkeit, Schielen)",,"Vision impairment (e.g., far-sightedness, near-sightedness, crossed eyes)",,,bin,,,
soep-core,soep-core-2012-e2,6,bstor09,bstor09,Schwerhörigkeit,,Hearing impairment,,,bin,,,
soep-core,soep-core-2012-e2,6,bstor10,bstor10,Ernährungsstörung,,Nutritional disorder,,,bin,,,
soep-core,soep-core-2012-e2,6,bstor11,bstor11,"Störung der Motorik, des Bewegungsapparates",,Motor impairment (disorder of the locomotor apparatus),,,bin,,,
soep-core,soep-core-2012-e2,6,bstor12,bstor12,Sonstige Störungen / Behinderungen,,Other impairment or disorder,,,bin,,,
soep-core,soep-core-2012-e2,6,bstor14,bstor14,"Nein, nichts davon",,"No, none of the above",,,bin,,,
soep-core,soep-core-2012-e2,6,bstor13,bstor13,[Sonstige Störungen / Behinderungen] und zwar:,,[other disorders]:,,,chr,6:bstor12=1,,"Filter:
ASK ONLY IF Q601 : BSTOR XX=12
"
soep-core,soep-core-2012-e2,7,,,Wie sind gegenwärtig Größe und Gewicht Ihres Kindes?,,What is your child’s current height and weight?,,,txt,,,
soep-core,soep-core-2012-e2,7,bgew,bgew,Gewicht in Kilogramm,,Weight in kilograms,,,int,,,
soep-core,soep-core-2012-e2,7,bgro,bgro,Körpergröße in cm,,Height in centimeters,,,int,,,
soep-core,soep-core-2012-e2,8,,,"Wenn Sie einmal an eine normale Woche denken:
Gibt es außer Ihnen andere Personen oder Einrichtungen, die die Betreuung des Kindes zeitweise übernehmen?
Wenn ja, welche Personen oder Einrichtungen sind das und wie viele Stunden pro Woche übernehmen sie die Betreuung?",,"If you think about a normal week, is there anybody else who regularly spends time looking after your child? If so, who is it and how many hours a week do they spend looking after the child?",,,txt,,,"Researcher Notes:
Statement 1 = BSIT1
**Statement 2 = BSIT2
**Statement 3 = BSIT3
**Statement 4 = BSIT4
**Statement 5 = BSIT5
**Statement 6 = BSIT6
**Statement 7 = BSIT7
**Statement 8 = BSIT8
**Statement 9 = BSIT9
"
soep-core,soep-core-2012-e2,8,bsit1,bsit1,(Ehe) Partner,,Spouse / Partner,,,bin,,,
soep-core,soep-core-2012-e2,8,bsit2,bsit2,Vater des Kindes (falls nicht im Haushalt),,The child’s father (if not a resident of the same household),,,bin,,,
soep-core,soep-core-2012-e2,8,bsit3,bsit3,Großeltern des Kindes,,The child’s grandparents,,,bin,,,
soep-core,soep-core-2012-e2,8,bsit4,bsit4,Ältere Geschwister des Kindes,,Older brother / sister of the child,,,bin,,,
soep-core,soep-core-2012-e2,8,bsit5,bsit5,Andere Verwandte,,Other relatives,,,bin,,,
soep-core,soep-core-2012-e2,8,bsit6,bsit6,Tagesmutter (außer Haus),,Paid caregiver (outside the home),,,bin,,,
soep-core,soep-core-2012-e2,8,bsit7,bsit7,Kinderfrau (in Ihrem Haushalt),,Paid caregiver (comes into your home),,,bin,,,
soep-core,soep-core-2012-e2,8,bsit8,bsit8,"Krippe, Kindergarten, Kindertageseinrichtung",,"Nursery school (creche, kindergarten)",,,bin,,,
soep-core,soep-core-2012-e2,8,bsit9,bsit9,"Andere (z.B. Babysitter, Nachbarn)",,"Other (friends, acquaintances, neighbors, etc.)",,,bin,,,
soep-core,soep-core-2012-e2,8,bsitno,bsitno,"Nein, niemand",,"No, nobody",,,bin,,,
soep-core,soep-core-2012-e2,8,bstd1,bstd1,Stunden [(Ehe) Partner],,Hours [spouse / partner],,,int,8:bsit1=1,,
soep-core,soep-core-2012-e2,8,bstd2,bstd2,Stunden [Vater des Kindes (falls nicht im Haushalt)],,Hours [father],,,int,8:bsit2=1,,"Researcher Notes:
sinnvolles numerische Maximum

Filter:
ASK ONLY IF Q801 : BSIT X ST=2 & SC=1
"
soep-core,soep-core-2012-e2,8,bstd3,bstd3,Stunden [Großeltern des Kindes],,Hours [grandparents],,,int,8:bsit3=1,,"Researcher Notes:
sinnvolles numerische Maximum

Filter:
ASK ONLY IF Q801 : BSIT X ST=3 & SC=1
"
soep-core,soep-core-2012-e2,8,bstd4,bstd4,Stunden [Ältere Geschwister des Kindes],,Hours [siblings],,,int,8:bsit4=1,,"Researcher Notes:
sinnvolles numerische Maximum

Filter:
ASK ONLY IF Q801 : BSIT X ST=4 & SC=1
"
soep-core,soep-core-2012-e2,8,bstd5,bstd5,Stunden [Andere Verwandte],,Hours [other relatives],,,int,8:bsit5=1,,"Researcher Notes:
sinnvolles numerische Maximum

Filter:
ASK ONLY IF Q801 : BSIT X ST=5 & SC=1
"
soep-core,soep-core-2012-e2,8,bstd6,bstd6,Stunden [Tagesmutter (außer Haus)],,Hours [paid caregiver outside home],,,int,8:bsit6=1,,"Researcher Notes:
sinnvolles numerische Maximum

Filter:
ASK ONLY IF Q801 : BSIT X ST=6 & SC=1
"
soep-core,soep-core-2012-e2,8,bstd7,bstd7,Stunden [Kinderfrau (in Ihrem Haushalt)],,Hours [paid caregiver inside home],,,int,8:bsit7=1,,"Researcher Notes:
sinnvolles numerische Maximum

Filter:
ASK ONLY IF Q801 : BSIT X ST=7 & SC=1
"
soep-core,soep-core-2012-e2,8,bstd8,bstd8,"Stunden [Krippe, Kindergarten, Kindertageseinrichtung]",,Hours [nursery school],,,int,8:bsit8=1,,"Researcher Notes:
sinnvolles numerische Maximum

Filter:
ASK ONLY IF Q801 : BSIT X ST=8 & SC=1
"
soep-core,soep-core-2012-e2,8,bstd9,bstd9,"Stunden [Andere (z.B. Babysitter, Nachbarn)]",,Hours [other],,,int,8:bsit9=1,,"Researcher Notes:
sinnvolles numerische Maximum

Filter:
ASK ONLY IF Q801 : BSIT X ST=9 & SC=1
"
soep-core,soep-core-2012-e2,9,,,Wie oft haben Sie oder die Hauptbetreuungsperson in den letzten 14 Tagen gemeinsam mit Ihrem Kind folgende Aktivitäten ausgeführt?,,How many times in the last 14 days have you or the main caregiver engaged in the following activities with your child?,,,txt,,,"Researcher Notes:
Statement 1 = BAKTIV1
**Statement 2 = BAKTIV2
**Statement 3 = BAKTIV3
**Statement 4 = BAKTIV4
**Statement 5 = BAKTIV5
**Statement 6 = BAKTIV6
**Statement 7 = BAKTIV7
**Statement 8 = BAKTIV8
**Statement 9 = BAKTIV9
"
soep-core,soep-core-2012-e2,9,baktiv1,baktiv1,(Vor-) Singen von Kinderliedern,,Singing children’s songs with or to the child,,baktiv x,cat,,,
soep-core,soep-core-2012-e2,9,baktiv2,baktiv2,Spaziergänge an der frischen Luft,,Taking walks outdoors,,baktiv x,cat,,,
soep-core,soep-core-2012-e2,9,baktiv3,baktiv3,Malen oder Basteln,,Painting or doing arts and crafts,,baktiv x,cat,,,
soep-core,soep-core-2012-e2,9,baktiv4,baktiv4,Geschichten vorlesen oder erzählen,,Reading or telling stories,,baktiv x,cat,,,
soep-core,soep-core-2012-e2,9,baktiv5,baktiv5,Bilderbücher anschauen,,Looking at picture books,,baktiv x,cat,,,
soep-core,soep-core-2012-e2,9,baktiv6,baktiv6,Zum Spielplatz gehen,,Going to the playground,,baktiv x,cat,,,
soep-core,soep-core-2012-e2,9,baktiv7,baktiv7,Besuch bei anderen Familien mit Kindern,,Visiting other families with children,,baktiv x,cat,,,
soep-core,soep-core-2012-e2,9,baktiv8,baktiv8,Mit dem Kind einkaufen gehen,,Going shopping with the child,,baktiv x,cat,,,
soep-core,soep-core-2012-e2,9,baktiv9,baktiv9,Zusammen Fernsehen / Video / DVD ansehen,,Watching television or videos with the child,,baktiv x,cat,,,
soep-core,soep-core-2012-e2,10,,btv1,"Darf Ihr Kind schon alleine, also ohne Erwachsene, Fernsehen, Video oder DVD schauen?",,"Is your child allowed to watch television or videos alone, without adult supervision?",,btv1,cat,,,
soep-core,soep-core-2012-e2,10,btv2,btv2,[Ja/selten] und zwar … Stunden pro Woche,,[Yes/rarely]: … hours per week,,,int,"10;btv1=1,2",,"Filter:
ASK ONLY IF Q1001 : BTV1=1,2
"
soep-core,soep-core-2012-e2,11,,,"Wie würden Sie Ihr Kind im Vergleich zu anderen Kindern gleichen Alters beurteilen?

Mein Kind ...","Je weiter links Sie Ihr Kreuz machen, um so mehr trifft die linke Eigenschaft zu,
je weiter rechts Sie Ihr Kreuz machen, um so mehr trifft die rechte Eigenschaft zu!",How would you rank your child in comparison to other children of the same age? My child is …,"The further to the left you make the X, the more the characteristic on the left side applies. The further to the right you make the X, the more the characteristic on the right side applies.",,txt,,,"Researcher Notes:
Number of Fields: 11
**
**1 = BVERGL1
**2 = BVERGL2
**3 = BVERGL3
**4 = BVERGL4
"
soep-core,soep-core-2012-e2,11,bvergl1,bvergl1,,,,,bvergl1,cat,,,
