concept,topic,label_de,label
_1248_p_isd,isd,"Grad d.Behinderung festgestellt, Jahr",Year Degree Of Disability Determined
_1249_p_trf,trf,Private Pflegeversicherung,Private Long Term Care Insurance
_125_p_tim,tim,"Kinderbetreuung, Sonntag.o.Ber.Tgkt,Std",Hours Sunday On Child Care
_1250_p_trf,trf,Soz.Sicherung nicht erwerbst.Ehepartner,Social Security For Non-Working Spouse
_1270_p_fnw,fnw,"Freunde - vorhanden,nicht vorhanden",Help From Non-Relatives
_1271_p_fnw,fnw,Erste Person - Entfernung,Where Does First Person Live
_1272_p_fnw,fnw,Erste Person - Beziehung,Nature Of Relationship To First Person
_1273_p_fnw,fnw,Zweite Person - Entfernung,Where Does Second Person Live
_1274_p_fnw,fnw,Zweite Person - Beziehung,Nature Of Relationship To Second Person
_1275_p_fnw,fnw,Zweite Person - nicht vorhanden,Second Person Is Not Present
_1276_p_fnw,fnw,Dritte Person - Entfernung,Where Does Third Person Live
_1277_p_fnw,fnw,Dritte Person - Beziehung,Nature Of Relationship To Third Person
_1278_p_fnw,fnw,Dritte Person - nicht vorhanden,Third Person Is Not Present
_1279_p_cdv,cdv,Ueberstunden im letzten Jahr - Umfang,Chance Of Overtime Or Special Shifts
_1286_p_wry,wry,Sorgen:Verlust v. Vermoegensrechten etc.,Worried About Rights Of Use And Assets
_1287_p_wry,wry,Sorgen: ueber neue Lebensbedingungen,Worried About Adapting To Change
_129_p_tim,tim,"Ausbildg,Schule, Samstag.m.Ber.Tgkt,Std",Hours Saturday On Education
_1293_p_jcl,ljo,Branche nach NACE,"2 Digit NACE Industry, Sector"
_130_p_tim,tim,"Ausbildg,Schule, Samstag.o.Ber.Tgkt,Std",Hours Sunday On Education
_1301_p_aws,aws,Beschaffung: eigenes Konto,Financed From Own Account
_1302_p_aws,aws,Beschaffung: von HH-Mitglied,Financed By HH-Member
_1303_p_aws,aws,Beschaffung: von Verwandten,Financed By Relatives
_1304_p_aws,aws,Beschaffung: Bankkredit,Financed By Bank Loan
_1305_p_aws,aws,Beschaffung: Sonstiges,Financed By Other
_132_p_tim,tim,"Ausbildg,Schule, Sonntag.m.Ber.Tgkt,Std",Hours Sunday On Education
_133_p_tim,tim,"Ausbildg,Schule, Sonntag.o.Ber.Tgkt,Std",Hours Sunday On Education
_136_p_tim,tim,"Reparaturen etc. Std., Sa","Hours Saturday Repairs,Garden Work"
_137_p_tim,tim,"Basteln,Reparat.,Samstag.o.Ber.Tgkt,Std",Hours Saturday On Handicraft Work
_139_p_tim,tim,"Basteln,Reparat.,Sonntag.m.Ber.Tgkt,Std",Hours Sunday On Handicraft Work
_140_p_tim,tim,"Basteln,Reparat.,Sonntag.o.Ber.Tgkt,Std",Hours Sunday On Handicraft Work
_1414_p_ocr,ocr,Einvernehmliche Aufloesung,Mutual Termination
_1415_p_ocr,ocr,Heirat,Quit Job For Marriage
_1416_p_ocr,ocr,Kinderbetreuung,Quit Job For Child Care
_1417_p_ocr,ocr,Betreuung pflegebeduerftiger Person,Quit Job To Care For Someone
_1418_p_ocr,ocr,Berufsunfaehigkeit,Quit Job Due To Occupational Disability
_1419_p_ocr,ocr,Erwerbsunfaehigkeit,Quit Job Because Of Incapacity For Work
_1420_p_ocr,ocr,Sonstige gesundheitliche Gruende,Quit Job Because Of Other Health Reasons
_1421_p_ocr,ocr,Erreichen der Altersgrenze,Quit Job When Reached Retirement Age
_1422_p_ocr,ocr,Vorzeitige Rente/Pension,Quit Job Because Of Early Retirement
_1423_p_ocr,ocr,"Wehr-,Zivildienst","Quit Job For Military,Community Service"
_1424_p_ocr,ocr,Aerger mit Vorgesetzten,Quit Job Due To Difficulties With Boss
_1425_p_ocr,ocr,Umzug,Quit Job When Moved
_1426_p_ocr,ocr,Rationalisierung im Betrieb,Quit Job Because Of Company Down-Sizing
_1427_p_ocr,ocr,Konkurs,Quit Job Because Of Bankruptcy
_1428_p_ocr,ocr,Berufliche Veraenderung,Quit Job Due To Occupational Change
_1429_p_ocr,ocr,Bessere Stelle,Quit Job For Better Job
_1430_p_ocr,ocr,"Fortbildung, Umschulung",Quit Job To Continue Education
_1431_p_ocr,ocr,Finanzielle Gruende,Quit Job When Financially Independent
_1432_p_ocr,ocr,Sonstige Gruende,Quit Job Because Of Other Reasons
_1433_p_sde,sde,"Beginn jetzige Stelle, Jahr",Year Began Current Employment
_1434_p_sde,sde,"Beginn jetzige Stelle, Monat",Month Began Current Employment
_1435_p_whd,whd,Wechselschicht,Shift Work Available
_1436_p_whd,whd,Moeglichkeit zu Gleitzeit,Flexible Working Hours
_1437_p_dtw,dtw,Wochenendpendler,Weekend Commuter
_1438_p_sim,sim,Bedeutung der Berufstaetigkeit,Importance Of Job
_1439_p_sim,sim,Beruf ziemlich wichtig,Importance Of Job
_1440_p_sim,sim,Beruf nicht so wichtig,Importance Of Job
_1441_p_whd,whd,Samstagsarbeit - Haeufigkeit,Frequency Of Work On Saturdays
_1442_p_whd,whd,Sonntagsarbeit - Haeufigkeit,Frequency Of Work On Sundays
_1443_p_esc,esc,"Erwerbst., erwerbstaetig werden wollen",Gainfully Employed Or Want To Be
_1444_p_whb,whb,mangelnde Kinderbetreuungsmoeglichkeit,No Child Care Available
_1445_p_whb,whb,um Zeit fuer Kinder zu haben,Enough Time For Children
_1446_p_whb,whb,"wegen, Ehe-, Partner","Because Of Spouse,Partner"
_1447_p_whb,whb,andere familiere Gruende,Other Family Reasons
_1448_p_whb,whb,ausreichendes Einkommen vorhanden,Income Is Sufficient
_1449_p_whb,whb,sonst zu wenig Zeit fuer andere Dinge,Otherwise Insufficient Free Time
_1450_p_whb,whb,Vollzeit und freie Tage,Distribution Of Work Time Per Week
_1451_p_whb,whb,Vormittags - andere Zeiten,Mornings - Other Times
_1452_p_vac,vac,Anzahl Urlaubstage letztes Jahr,Days On Holiday Last Year
_1453_p_vac,vac,keinen Urlaub genommen,No Holidays Off Last Year
_1454_p_vac,vac,jaehrlicher Urlaubsanspruch,Yearly Contracted Holidays
_1455_p_vac,vac,kein Urlaubsanspruch,No Specified Holidays
_1456_p_prt,prt,Monatl. Betrag sonst. Unterstuetzung 89,Gross Amount Of Income-Persons Not In HH
_1457_p_tax,tax,Gemeinsame oder getrennte Veranlagung 88,"Filed Jointly,Individually Two Years Ago"
_1458_p_tax,tax,"Gesamtbetrag Lohn-, Einkommenssteuer 88",Amount Of Income Tax Paid Two Years Ago
_1459_p_tax,tax,Steuerbescheid 88 liegt noch nicht vor,Information Not Available Two Years Ago
_1460_p_gov,gov,Einschaetzung Umfang staatl. Aufgaben,Extent And Type Of State Powers
_1461_p_fhf,fhf,gemeinsame Wohnung seit...,Year Moved In Together
_1462_p_fhf,fhf,Getrennte Wohnungen,Live Apart
_1464_p_tim,tim,"Fernsehen, Video",Hours Per Weekday On TV
_1468_p_ltm,tim,"Sonstige Hobbies Std., Sonntag",Hours Sunday Other Hobbies
_1469_p_wkc,wkc,Regelmaessige Nachtarbeit,Job Requires Regular Night Work
_1470_p_saf,saf,Resulat: bessere Kenntnisse,Paid Off In Job Knowledge
_1471_p_saf,saf,Resultat: bessere Aufstiegschancen,Paid Off In Promotion Possibilities
_1472_p_saf,saf,Resultat: mehr Verdienst,Paid Off In Greater Earnings
_1473_p_saf,saf,Resultat: mehr Arbeitsplatzsicherheit,Paid Off In Greater Job Security
_1474_p_saf,saf,Resultat: interessantere Taetigkeit,Paid Off In More Interesting Work
_1475_p_saf,saf,Resultat: bessere Arbeitsmarktchancen,Paid Off In Better Chances In Job Market
_1476_p_saf,saf,Resultat: sonstiges,Further Education Provided Other Pay-Off
_1477_p_ftt,ftt,Lehrgang zu Gesundh.fragen,Lectures About Health Topics
_1478_p_ftt,ftt,"Lehrgang zu Kindererz.,Schule",Lectures About Raising Children
_1479_p_ftt,ftt,Lehrgang zu Partnersch.fragen,"Lectures About Personal, Family Problems"
_1480_p_ftt,ftt,Lehrgang zu Sprachkenntnissen,Lectures About Language Skills
_1481_p_ftt,ftt,"Lehrgang zu prakt.,handw. Faehigkt.",Lectures About Practical Crafts Or Trades
_1482_p_ftt,ftt,"Lehrgang zu kuenstl.,musikal. Faehigkt.","Lectures About Musical, Artistic Skills"
_1483_p_ftt,ftt,"Lehrgang zu Versich.,Rente,Steuern","Lectures About Insurance, Taxes"
_1484_p_ftt,ftt,"Lehrgang zu polit.,staatsbuergerl. Frage","Lectures About Politics, Citizens Rights"
_1485_p_ftt,ftt,"Lehrgang zu Naturwiss.,Technik","Lectures About Natural Sciences,Technology"
_1486_p_ftt,ftt,Lehrgang zu Umweltschutz,"Lectures About Environmental Protection,"
_1487_p_ftt,ftt,Lehrgang zu Sport,Lectures About Sport
_1488_p_ftt,ftt,"Lehrgang zu Wissen ueber Kunst,Literatur","Lectures About Art, Literature, History"
_1489_p_ftt,ftt,Lehrgang zu sonstigen Themen,Lectures About Other Topics
_1490_p_ftt,ftt,keine Weiterb. in diesen Themen,None Of These
_1491_p_coa,coa,Besuchte Kurse sei Anfang 1988,Courses Started Previous Yr
_1492_p_coa,coa,"Gruende: beruflicher Nutzen, Kurs 1",Reason - Useful For Job
_1493_p_coa,coa,"Gruende: Kenntnisse f. prakt. Leben, K.1",Reason - Useful In Daily Life
_1494_p_coa,coa,"Gruende: kreative Betaetigung, Kurs 1",Reason - Help Develop Creativity
_1495_p_coa,coa,"Gruende: Interesse am Gebiet, Kurs 3",Reason - Interested In Subject Area
_1496_p_coa,coa,"Gruende: beruflicher Nutzen, Kurs 2",Reason - Useful For Job
_1497_p_coa,coa,"Gruende: Kenntnisse f. prakt. Leben, K.2",Reason - Useful In Daily Life
_1498_p_coa,coa,"Gruende: kreative Betaetigung, Kurs 2",Reason - Help Develop Creativity
_1499_p_coa,coa,"Gruende: Interesse am Gebiet, Kurs 2",Reason - Interested In Subject Area
_1500_p_coa,coa,"Gruende: beruflicher Nutzen, Kurs 3",Reason - Useful For Job
_1501_p_coa,coa,"Gruende: Kenntnisse f. prakt. Leben, K.3",Reason - Useful In Daily Life
_1502_p_coa,coa,"Gruende: kreative Betaetigung, Kurs 3",Reason - Help Develop Creativity
_1503_p_coa,coa,"Gruende: Interesse am Gebiet, Kurs 3",Reason - Interested In Subject Area
_1504_p_vot,vot,Einschaetzung der Idee der Demokratie,Democratic Ideal
_1505_p_sat,sat,Zufriedenheit mit der Demokratie der BRD,Satisfied With Democratic Constitution
_1506_p_fju,fju,Gerechtigkeit bzgl. sich selbst,Entitlement Received Are Deserved
_1507_p_fju,fju,Gerechtigkeit bzgl. aller Buerger,German Citizen Benefits Are Equitable
_1508_p_ona,ona,Aenderung Staatsangehoerigkeit seit 88,Changed Nationality Since Prev.Year
_1509_p_ona,ona,Staatsangehoerigkeit,Nationality
_1510_p_ftt,ftt,"Weiterbildung, sonstiges - codiert","Further Education, Other - Coded"
_1511_p_ftt,ftt,"Weiterbildung, sonstiges - codiert","Further Education, Other - Coded"
_1512_p_fvd,fvd,"Thema, Inhalt des Kurses",Subject Matter Of Courses
_1513_p_ftt,ftt,"Sonstige Themen, Name 1",Name Of First Other Subject
_1514_p_ftt,ftt,"Sonstige Themen, Name 2",Name Of Second Other Subject
_1515_p_coa,coa,"Buchstabe laut Frage 63, Kurs 1",Letter From Question 63
_1516_p_coa,coa,"Buchstabe laut Frage 63, Kurs 2",Letter From Question 63
_1517_p_coa,coa,"Buchstabe laut Frage 63, Kurs 3",Letter From Question 63
_1518_p_olm,olm,"Ersparnis Eigenarbeit Vorjahr, Betrag",Savings Of Do-It-Yourself Work Prev Yr
_1519_p_olm,olm,"Ersparnis Eigenarbeit Vorjahr, unb.,kA)",Savings Of Do-It-Yourself Work Unknown
_1520_p_olm,olm,"Ausgaben fuer Eigenarbeit,Betrag",Expenses Of Do-It-Yourself Work Prev Yr
_1521_p_olm,olm,"Hoehe Ausgaben fuer Eigenarbeit, k.A.",Expenses Of Do-It-Yourself Work Unknown
_1522_p_tjs,tjs,Stellenfindung durch innerbetr. Angebot,Job Search Through Company Job Offerings
_1523_p_tjs,tjs,Selbstaendig gemacht,Became Self-Employed
_1524_p_who,who,Wunsch mehr-weniger Ueberstunden,Desires More/Less Overtime
_1525_p_sav,sav,Besitz von Praemiensparvertraegen,Indexed Savings Agreement Previous Yr
_1526_p_sav,sav,Besitz von Bausparvertraegen,Savings: Building Society Previous Yr
_1527_p_pri,pri,Besitz von Lebensversicherungsvertraegen,Life Insurance Previous Yr
_1528_p_sav,sav,Vermoegensbildungsgesetz: Sonst. Sparen,Other Savings Previous Yr
_1529_p_sav,sav,Kein Sparen mit Vermoegensbildungsgesetz,No Savings Previous Yr
_1530_p_ipp,ipp,Vermoegen als zusaetz. Altersvorsorge,Insured By Pension And Other Assets
_1531_p_ipp,ipp,"Vermoegen fuer Lebensunterhalt,im Alter",Assets For Subsistence
_1532_p_ipp,ipp,Vermoegen fuer schoeneren Lebensabend,Assets For Retirement Years
_1533_p_ipp,ipp,"Vermoegen fuer Not-, Pflegefall im Alter",Provisions Against Sickness And Hardship
_1534_p_ipp,ipp,Vermoegen fuer die Erben,Assets To Leave As Inheritance
_1535_p_whb,whb,geeigneter Arbeitsplatz fehlt,Suitable Job Not Found
_1536_p_whb,whb,wegen Kindererziehung,Because Has To Raise Children
_1537_p_whb,whb,sonstige Gruende fuer Teilzeitarbeit,Other Reasons For Part-Time Work
_1538_p_hco,hco,Alter der Befragungsperson,Age Of Person Surveyed
_1539_p_pow,pow,Erwartetes Rentenalter,Anticipated Age Of Retirement
_1540_p_pow,pow,"Erwartetes Rentenalter,unbekannt",Anticipated Age Of Retirement Is Unknown
_1541_p_pow,pow,Grund fuer Ruhestand: Gesundheit,Will Retire Due To Health
_1542_p_pow,pow,Grund fuer Ruhestand: Betrieb,Will Retire Early Because Firm Favors It
_1543_p_pow,pow,Grund fuer Ruhestand: Ruhestand geniesse,Will Retire To Enjoy Myself More
_1544_p_pow,pow,Gruende fuer Weiterarbeit:finanz.Gruende,Will Retire For Financial Reasons
_1545_p_pow,pow,Gruende fuer Weiterarbeit: Arbeit,Will Not Retire: Enjoy Working
_1546_p_pow,pow,Praeferenz: Teilrente,Prefer Partial Pension & Work Part-Time
_1547_p_pow,pow,"Wunsch nach Teilzeitbeschaeftigung,Alter",Age When Prefer To Work Part-Time
_1548_p_pow,pow,"Wunsch nach Teilzeitbeschaeftigung,k.A.",Do Not Know Age When To Work Part-Time
_1549_p_pow,pow,Erwartetes Vollrentenalter,Expected Age Of Full Retirement
_1550_p_pow,pow,"Erwartetes Vollrentenalter,keine Angabe",Expected Age Of Full Retirement Unknown
_1551_p_hss,hss,"Kur und Heilbehandlung,wann zuletzt",Last Received In-Patient Treatment
_1552_p_hhs,hhs,Mehr- bzw.Einpersonenhaushalt,Multi Or Single Person Household
_1553_p_trf,trf,Absicherung von Hinterbliebenen waere...,Provisions For Surviving Dependents
_1554_p_trf,trf,Bewertung der Beitraege fuer die KV,Health Insurance Contributions
_1555_p_trf,trf,Bewertung d.Beitraege z. Alterssicherung,Pension Insurance Contributions
_1556_p_sat,sat,Allg. Lebenszufriedenheit vor einem Jahr,Satisfaction With Life A Year Ago
_1558_p_ljo,ljo,Alter bei Berufsbeginn,Age When Went To Work
_1559_p_ljo,ljo,"Noch, nie erwerbstaetig",Never Gainfully Employed
_1560_p_ljo,ljo,Stellung im ersten Beruf - Arbeiter,Worker Skill Level
_1561_p_ljo,ljo,Stellung im ersten Beruf - Selbstaendig,Self-Employed
_1562_p_ljo,ljo,Stellung im ersten Beruf - Angestellter,W-Collar Worker Skill Level
_1563_p_ljo,ljo,Stellung im ersten Beruf - Beamter,Civil Servant Job Level
_1564_p_joc,joc,Zahl der Berufswechsel,Job Change
_1565_p_joc,joc,Eintrittsalter heutiger Beruf,Age When Started Current Job
_1566_p_who,who,Ueberstundenzuschlag in Prozent,Percent Of Extra Pay Per Overtime Hour
_1567_p_who,who,Ueberstundenzuschlag unbekannt,Amount Of Extra Pay Is Not Known
_1568_p_gov,gov,Staatseinmischung,Government Interference
_1569_p_fhf,fhf,Geburtsjahr Vater,Birth Year Of Father
_1570_p_fno,fno,Aufenthaltsort Vater,Where Does Father Live
_1571_p_fhf,fhf,Todesjahr Vater,What Year Did Father Die
_1572_p_fhf,fhf,Geburtsjahr Mutter,Birth Year Of Mother
_1573_p_fno,fno,Aufenthaltsort Mutter,Where Does Mother Live
_1574_p_fhf,fhf,Todesjahr Mutter,What Year Did Mother Die
_1575_p_ped,ped,Schulabschluss des Vaters,School Degree Received By Father
_1576_p_ped,ped,Schulabschluss der Mutter,School Degree Received By Mother
_1577_p_ped,ped,Berufsausbildung des Vaters,"Education,Training Of Father"
_1578_p_ped,ped,Berufsausbildung der Mutter,"Education,Training Of Mother"
_1579_p_ped,ped,Wo aufgewachsen,Where Did You Grow Up
_158_p_ila,ila,Arbeit fuer Zufriedenh,Import.-Work For Satisfaction
_1580_p_lpp,lpp,Erwerbsstatus des Vaters,Employment Status Of Father
_1581_p_lpp,lpp,Erwerbsstatus der Mutter,Employment Status Of Mother
_1582_p_lpp,lpp,Erwerbstaetigkeit des Vaters,Fathers Occupation
_1583_p_lpp,lpp,Vater: Arbeiter,Manual Worker
_1584_p_lpp,lpp,"Vater: Arbeiter,Art.",Type Of Manual Worker
_1585_p_lpp,lpp,Vater: Selbstaendiger,Self-Employed
_1586_p_lpp,lpp,"Vater: Selbstaendiger,Art",Type Of Self-Employment
_1587_p_lpp,lpp,Vater: Auszubildender,In Training
_1588_p_lpp,lpp,"Vater: Auszubildender,Art",Type Of Training
_1589_p_lpp,lpp,Vater: Angestellter,Salaried W-Collar Worker
_159_p_ila,ila,Familie fuer Zufriedenh,Import.-Family For Satisfaction
_1590_p_lpp,lpp,"Vater: Angestellter,Art",Type Of Salaried W-Collar Worker
_1591_p_lpp,lpp,Vater: Beamter,Public Servant
_1592_p_lpp,lpp,"Vater: Beamter,Art",Type Of Public Servant
_1593_p_lpp,lpp,Vater: Beruf unbekannt,Job Prestige Is Unknown
_1594_p_ped,ped,Berufsbezeichnung unbekannt,Job Title Is Unknown
