study,questionnaire,question,item,template.id,text_de,instruction_de,text,instruction,scale,answer_list,range,concept,filter,goto,description,scripternotes,number,old.template.id,dataset,var_fix
soep-core,soep-core-2017-e1,11,,764,Um Ihr wievieltes Kind handelt es sich bei dem Neugeborenen?,,"Is the newborn your first, second, third, etc. child? (Please state)",,txt,,,,,,,,,,,
soep-core,soep-core-2017-e1,11,aanz,764,Es ist das ...te Kind.,,He/she is my … child,,int,,,aanz,,,,,,,,
soep-core,soep-core-2017-e1,12,aleib,765,Handelt es sich um Ihr leibliches Kind?,,Is the newborn your biological child?,,cat,1+,,aleib,,,,,,,,
soep-core,soep-core-2017-e1,13,aplan,766,War Ihre Schwangerschaft eher ungeplant oder geplant?,,Was your pregnancy more unplanned or more planned?,,cat,246+,,aplan,,,,,,,,
soep-core,soep-core-2017-e1,14,,13525,Wie war Ihr körperliches und seelisches Befinden im letzten Drittel der Schwangerschaft und in den ersten drei Monaten nach der Geburt?,,How were you feeling physically and mentally during the last third of your pregnancy and during the first three months after giving birth?,,txt,,,,,,,,14,,,
soep-core,soep-core-2017-e1,14,abef1,13525,[Körperliches Befinden] Im letzten Drittel der Schwangerschaft,,Physical State: In the last third of your pregnancy,,cat,3059+,,abef1,,,,,14,,,
soep-core,soep-core-2017-e1,14,abef2,13525,[Körperliches Befinden] In den ersten drei Monaten nach der Geburt,,Physical State:  In the first three months after childbirth,,cat,3059+,,abef2,,,,,14,,,
soep-core,soep-core-2017-e1,14,abef3,13525,[Seelisches Befinden] Im letzten Drittel der Schwangerschaft,,Mental State: In the last third of your pregnancy,,cat,3059+,,abef3,,,,,14,,,
soep-core,soep-core-2017-e1,14,abef4,13525,[Seelisches Befinden] In den ersten drei Monaten nach der Geburt,,Mental State: In the first three months after childbirth,,cat,3059+,,abef4,,,,,14,,,
soep-core,soep-core-2017-e1,15,,768,"Bedingt durch die Geburt eines Kindes verändern sich ja die Lebensumstände. Man macht neue Erfahrungen und entwickelt neue Erwartungen an die Zukunft. 
Inwieweit stimmen Sie den folgenden Aussagen zu?",,Life changes after the birth of a child. You experience new things and start to have new expectations for the future. To what extent do you agree with the following statements?,,txt,,,,,,,,,,,
soep-core,soep-core-2017-e1,15,aver1,768,Meine Lebensumstände haben sich sehr stark verändert,,My life has changed significantly,,cat,248+,,aver1,,,,,,,,
soep-core,soep-core-2017-e1,15,aver2,768,Das Aufziehen meines Kindes bereitet mir Glück und Freude,,It gives me pleasure and happiness to raise my child,,cat,248+,,aver2,,,,,,,,
soep-core,soep-core-2017-e1,15,aver3,768,Ich bin oft am Ende meiner Kräfte,,I often feel like I’m running out of energy,,cat,248+,,aver3,,,,,,,,
soep-core,soep-core-2017-e1,15,aver4,768,Meine Rolle als Mutter ist für mich sehr befriedigend,,I am satisfied with my role as a mother,,cat,248+,,aver4,,,,,,,,
soep-core,soep-core-2017-e1,15,aver5,768,Ich fühle mich den neuen Aufgaben und Anforderungen oft nicht gewachsen,,I often do not feel up to the new tasks and demands of being a mother,,cat,248+,,aver5,,,,,,,,
soep-core,soep-core-2017-e1,15,aver6,768,Ich lerne über das Kind auch andere Menschen kennen und knüpfe neue Kontakte,,I am meeting new people and making new contacts through my child,,cat,248+,,aver6,,,,,,,,
soep-core,soep-core-2017-e1,15,aver7,768,"Ich leide darunter, auf meine Rolle als Mutter eingeschränkt zu sein ",,I am suffering from being restricted to my role as a mother,,cat,248+,,aver7,,,,,,,,
soep-core,soep-core-2017-e1,15,aver8,768,"Meinem Kind viel Zärtlichkeit zu geben, ist mir sehr wichtig ",,It’s important to me to show my child plenty of affection,,cat,248+,,aver8,,,,,,,,
soep-core,soep-core-2017-e1,15,aver9,768,Die Gesundheit meines Kindes macht mir Sorgen,,I’m worried about my child’s health,,cat,248+,,aver9,,,,,,,,
soep-core,soep-core-2017-e1,16,avat,769,Lebt der Vater des Kindes hier im Haushalt?,,Does the father live in the household?,,cat,1+,,avat,,,,,,,,
soep-core,soep-core-2017-e1,17,aunt2,770,Wie stark fühlen Sie sich von Ihrem Partner bei der Betreuung des Kindes unterstützt?,,How much do you feel your partner helps you in looking after the child?,,cat,249+,,aunt2,,,,,,,,
soep-core,soep-core-2017-e1,18,abet1,771,Sind Sie selbst die Hauptbetreuungsperson Ihres Kindes?,,Are you the child’s main caregiver?,,cat,1+,,abet1,,,,,,,,
soep-core,soep-core-2017-e1,19,,772,"Wenn Sie einmal an eine normale Woche denken: Gibt es außer Ihnen andere Personen oder Einrichtungen, die die Betreuung des Kindes zeitweise übernehmen? Wenn ja, welche Personen oder Einrichtungen sind das und wie viele Stunden pro Woche übernehmen sie die Betreuung?",,"If you think about a normal week, is there anybody else who regularly spends time looking after your child? If so, who is it and how many hours a week do they spend looking after the child?",,txt,,,,,,,,,,,
soep-core,soep-core-2017-e1,19,asit1,772,(Ehe) Partner,,Spouse / partner,,bin,,,asit1,,,,,,,,
soep-core,soep-core-2017-e1,19,asit2,772,Großeltern des Kindes,,Grandparents of the child,,bin,,,asit2,,,,,,,,
soep-core,soep-core-2017-e1,19,asit3,772,Ältere Geschwister des Kindes,,Older siblings,,bin,,,asit3,,,,,,,,
soep-core,soep-core-2017-e1,19,asit4,772,Andere Verwandte,,Other relatives,,bin,,,asit4,,,,,,,,
soep-core,soep-core-2017-e1,19,asit5,772,Tagesmutter,,Paid caregiver (outside the home),,bin,,,asit5,,,,,,,,
soep-core,soep-core-2017-e1,19,asit6,772,Krippe,,Nursery school (child care center),,bin,,,asit6,,,,,,,,
soep-core,soep-core-2017-e1,19,asit7,772,"Andere (z.B. Babysitter, Nachbarn)",,"Other (e.g., babysitter, neighbor)",,bin,,,asit7,,,,,,,,
soep-core,soep-core-2017-e1,19,asitno,772,"Nein, Niemand",,"No, nobody",,bin,,,asitno,,,,,,,,
soep-core,soep-core-2017-e1,19,astd1,772,Stunden [(Ehe) Partner],,Hours [spouse / partner],,int,,,astd1,,,,,,,,
soep-core,soep-core-2017-e1,19,astd2,772,Stunden [Großeltern des Kindes],,Hours [grandparents],,int,,,astd2,,,,,,,,
soep-core,soep-core-2017-e1,19,astd3,772,Stunden [Ältere Geschwister des Kindes],,Hours [siblings],,int,,,astd3,,,,,,,,
soep-core,soep-core-2017-e1,19,astd4,772,Stunden [Andere Verwandte],,Hours [other relatives],,int,,,astd4,,,,,,,,
soep-core,soep-core-2017-e1,19,astd5,772,Stunden [Tagesmutter],,Hours [family daycare provider],,int,,,astd5,,,,,,,,
soep-core,soep-core-2017-e1,19,astd6,772,Stunden [Krippe],,Hours [nursery school],,int,,,astd6,,,,,,,,
soep-core,soep-core-2017-e1,19,astd7,772,"Stunden [Andere (z.B. Babysitter, Nachbarn)]",,Hours [other],,int,,,astd7,,,,,,,,
soep-core,soep-core-2017-e1,20,,773,Wie sehen Sie ihr Kind heute? Inwieweit treffen folgende Aussagen zu?,,What’s your current impression of your child? To what extent do you agree with the following statements?,,txt,,,,,,,,,,,
soep-core,soep-core-2017-e1,20,aakt1,773,Mein Kind ist meist fröhlich und zufrieden,,My child is generally cheerful and happy,,cat,250+,,aakt1,,,,,,,,
soep-core,soep-core-2017-e1,20,aakt2,773,Mein Kind ist leicht erregbar und weint häufig,,My child is easily irritated and cries a lot,,cat,250+,,aakt2,,,,,,,,
soep-core,soep-core-2017-e1,20,aakt3,773,Mein Kind ist schwer zu trösten,,My child is difficult to comfort when upset,,cat,250+,,aakt3,,,,,,,,
soep-core,soep-core-2017-e1,20,aakt4,773,Mein Kind ist neugierig und aktiv,,My child is curious and active,,cat,250+,,aakt4,,,,,,,,
soep-core,soep-core-2017-e1,20,aakt5,773,Mein Kind ist eher zurückhaltend,,My child tends to be shy,,cat,250+,,aakt5,,,,,,,,
soep-core,soep-core-2017-e1,A,,879,Welches Datum haben wir heute und um wie viel Uhr haben Sie den Fragebogen beendet?,,What date do we have today?,,txt,,,,,,,,,,,
soep-core,soep-core-2017-e1,A,datt,879,Tag,,Day,,int,,,datt,,,,,,,,
soep-core,soep-core-2017-e1,A,datm,879,Monat,,Month,,int,,,datm,,,,,,,,
soep-core,soep-core-2017-e1,A,datst,879,Stunde,,Hour,,int,,,datst,,,,,,,,
soep-core,soep-core-2017-e1,A,datmi,879,Minute,,Minute,,int,,,datmi,,,,,,,,
soep-core,soep-core-2017-e1,A,form,879,Befragungsform,,Interview form,,int,,,form,,,,,,,,
soep-core,soep-core-2017-e1,Int,,775,Interviewer:,,Interviewer:,,txt,,,,,,,,,,,
soep-core,soep-core-2017-e1,Int,listnr,775,Listen-Nr.,,List-number,,int,,,listnr,,,,,,,,
soep-core,soep-core-2017-e1,Int,lfdnr,775,Lfd. Nr.,,Lfd ID,,int,,,lfdnr,,,,,,,,
soep-core,soep-core-2017-e1,Int,intnr,775,Abrechnungs-Nummer,,Account number:,,int,,,intnr,,,,,,,,
soep-core,soep-core-2017-e2,Intro,,13381,"Die ersten Lebensjahre eines Kindes sind geprägt von einer Vielfalt von Entwicklungsschritten. Für die Wissenschaft ist diese wichtige Lebensspanne von großem Interesse. In diesem kurzen Fragebogen geht es um Ihre Kinder, die im Jahr 2014 geboren wurden. Unsere Fragen beziehen sich auf Ihre persönlichen Erfahrungen und die Entwicklung des Kindes.

Ihre Mitarbeit ist freiwillig.

Wir bitten Sie aber herzlich,

- unserem Mitarbeiter die Fragen zu beantworten

- oder den Fragebogen sorgfältig selbst auszufüllen.",,"The first years of a child's life are characterized by variety of development steps. Recent research is particularly interested in this important lifespan. This short questionnaire is about children, they were born in 2014. The questions refer to your personal experiences and the development of your newborn child.

Your participation is entirely voluntary. 

We therefore cordially request that 
- you allow our staff member to interview you 
- or you fill out the questionnaire independently.",,txt,,,,,,,,,,,
soep-core,soep-core-2017-e2,0,,13382,Bitte vor Übergabe unbedingt eintragen lt. Adressenprotokoll:,,"Before handing in the questionnaire, please
enter in accordance with the address log:",,txt,,,,,,,,,,,
soep-core,soep-core-2017-e2,0,hnr,13382,Nr. des Haushalts,,Household ID,,int,,,hnr,,,,,,,,
soep-core,soep-core-2017-e2,0,mname,13382,Vorname der Mutter,Bitte in Druckbuchstaben,Mother's first name,Please complete in block capitals,chr,,,mname,,,,,,,,
soep-core,soep-core-2017-e2,0,mpnr,13382,Personen Nr.,,Person ID,,int,,,mpnr,,,,,,,,
soep-core,soep-core-2017-e2,1,,3395,Wie heißt Ihr Kind?,,What’s your child’s name?,,txt,,,,,,,,,,,
soep-core,soep-core-2017-e2,1,bname,3395,Vorname des Kindes:,Bitte in Druckbuchstaben,Child's first name,Please print in capital letters.,chr,,,bname,,,,,,,,
soep-core,soep-core-2017-e2,1,bpnr,3395,Personen Nr,,Person ID,,int,,,bpnr,,,,,,,,
soep-core,soep-core-2017-e2,2,,13383,Geburtsdatum und Geschlecht Ihres Kindes,,Birth date and sex of your child,,txt,,,,,,,,,,,
soep-core,soep-core-2017-e2,2,bgebt,13383,Tag,,Day,,int,,,bgebt,,,,,,,,
soep-core,soep-core-2017-e2,2,bgebm,13383,Monat,,Month,,int,,,bgebm,,,,,,,,
soep-core,soep-core-2017-e2,2,bgebj,13383,Jahr,,Year,,int,,,bgebj,,,,,,,,
soep-core,soep-core-2017-e2,2,bsex,13383,…,,...,,cat,869+,,bsex,,,,,,,,
soep-core,soep-core-2017-e2,3,bstil1,3397,"Haben Sie Ihr Kind gestillt und wenn ja, wie lange? ",,"Did you breastfeed your baby? If so, how long?",,cat,824+,,bstil1,,,,,,,,
soep-core,soep-core-2017-e2,3,bstil2,3397,Habe länger gestillt und zwar ... Monate,,I breastfed for a longer period: … months,,int,,,bstil2,,,,,,,,
soep-core,soep-core-2017-e2,4,,3398,Wie sehen Sie Ihr Kind heute? Inwieweit treffen die folgenden Aussagen zu?,,What’s your current impression of your child? To what extent do you agree with the following statements?,,txt,,,,,,,,,,,
soep-core,soep-core-2017-e2,4,bakt1,3398,Mein Kind ist meist fröhlich und zufrieden,,My child is generally cheerful and happy,,cat,250+,,bakt1,,,,,,,,
soep-core,soep-core-2017-e2,4,bakt2,3398,Mein Kind ist leicht erregbar und weint häufig,,My child is easily irritated and cries a lot,,cat,250+,,bakt2,,,,,,,,
soep-core,soep-core-2017-e2,4,bakt3,3398,Mein Kind ist schwer zu trösten,,My child is difficult to comfort when upset,,cat,250+,,bakt3,,,,,,,,
soep-core,soep-core-2017-e2,4,bakt4,3398,Mein Kind ist neugierig und aktiv,,My child is curious and active,,cat,250+,,bakt4,,,,,,,,
soep-core,soep-core-2017-e2,4,bakt5,3398,"Mein Kind ist gesprächig, redet gern ",,My child is communicative and likes to talk,,cat,250+,,bakt5,,,,,,,,
soep-core,soep-core-2017-e2,4,bakt6,3398,"Mein Kind zeigt Mitgefühl, wenn andere traurig sind ",,My child shows empathy when others are sad,,cat,250+,,bakt6,,,,,,,,
soep-core,soep-core-2017-e2,4,bakt7,3398,Die Gesundheit meines Kindes macht mir Sorgen,,I’m worried about my child’s health,,cat,250+,,bakt7,,,,,,,,
soep-core,soep-core-2017-e2,5,bges1,3399,"Gab es bei Ihrem Kind in den letzten 12 Monaten gesundheitliche Probleme, die einen Krankenhausaufenthalt notwendig machten? ",,Did your child experience health problems in the last 12 months that required a hospital stay?,,cat,1+,,bges1,,,,,,,,
soep-core,soep-core-2017-e2,5,bges2,3399,[Ja] und zwar ... Tage,,"[Yes], … days",,int,,,bges2,,,,,,,,
soep-core,soep-core-2017-e2,6,,3400,Ist von einem Arzt bei Ihrem Kind einmal eine der folgenden Erkrankungen oder Störungen festgestellt worden?,Bitte alles Zutreffende ankreuzen!,Has your child been diagnosed by a doctor as having one of the following health conditions or impairments?,Please mark all that apply.,txt,,,,,,,,,,,
soep-core,soep-core-2017-e2,6,bstor01,3400,Asthma,,Asthma,,bin,,,bstor01,,,,,,,,
soep-core,soep-core-2017-e2,6,bstor02,3400,Chronische Bronchitis,,Chronic bronchitis,,bin,,,bstor02,,,,,,,,
soep-core,soep-core-2017-e2,6,bstor03,3400,Spastische / akute Bronchitis,,Spastic / acute bronchitis,,bin,,,bstor03,,,,,,,,
soep-core,soep-core-2017-e2,6,bstor04,3400,Pseudokrupp / Kruppsyndrom,,Pseudocroup / Croup syndrome,,bin,,,bstor04,,,,,,,,
soep-core,soep-core-2017-e2,6,bstor05,3400,Mittelohrentzündung,,Middle-ear inflammation,,bin,,,bstor05,,,,,,,,
soep-core,soep-core-2017-e2,6,bstor06,3400,Heuschnupfen,,Hay fever,,bin,,,bstor06,,,,,,,,
soep-core,soep-core-2017-e2,6,bstor07,3400,Neurodermitis,,Neurodermatitis,,bin,,,bstor07,,,,,,,,
soep-core,soep-core-2017-e2,6,bstor08,3400,"Fehlsichtigkeit (z.B. Kurz- bzw. Weitsichtigkeit, Schielen)",,"Vision impairment (e.g., far-sightedness, near-sightedness, crossed eyes)",,bin,,,bstor08,,,,,,,,
soep-core,soep-core-2017-e2,6,bstor09,3400,Schwerhörigkeit,,Hearing impairment,,bin,,,bstor09,,,,,,,,
soep-core,soep-core-2017-e2,6,bstor10,3400,Ernährungsstörungen,,Nutritional disorder,,bin,,,bstor10,,,,,,,,
soep-core,soep-core-2017-e2,6,bstor11,3400,"Störungen der Motorik, des Bewegungsapparates ",,Motor impairment (disorder of the locomotor apparatus),,bin,,,bstor11,,,,,,,,
soep-core,soep-core-2017-e2,6,bstor12,3400,Sonstige Störungen / Behinderungen,,Other impairment or disorder,,bin,,,bstor12,,,,,,,,
soep-core,soep-core-2017-e2,6,bstor14,3400,"Nein, nichts davon ",,"No, none of the above",,bin,,,bstor14,,,,,,,,
soep-core,soep-core-2017-e2,6,bstor13,3400,[Sonstige Störungen / Behinderungen] und zwar:,,[other disorders]:,,chr,,,bstor13,,,,,,,,
soep-core,soep-core-2017-e2,7,,3341,Wie sind gegenwärtig Größe und Gewicht Ihres Kindes?,,What is your child’s current height and weight?,,txt,,,,,,,,,,,
soep-core,soep-core-2017-e2,7,bgew,3341,Gewicht in Kilogramm,,Weight in kilograms,,int,,,bgew,,,,,,,,
soep-core,soep-core-2017-e2,7,bgro,3341,Körpergröße in cm,,Height in centimeters,,int,,,bgro,,,,,,,,
soep-core,soep-core-2017-e2,8,,3401,"Wenn Sie einmal an eine normale Woche denken: Gibt es außer Ihnen andere Personen oder Einrichtungen, die die Betreuung des Kindes zeitweise übernehmen? Wenn ja, welche Personen oder Einrichtungen sind das und wie viele Stunden pro Woche übernehmen sie die Betreuung? ",,"If you think about a normal week, is there anybody else who regularly spends time looking after your child? If so, who is it and how many hours a week do they spend looking after the child?",,txt,,,,,,,,,,,
soep-core,soep-core-2017-e2,8,bsit1,3401,(Ehe) Partner,,Spouse / Partner,,bin,,,bsit1,,,,,,,,
soep-core,soep-core-2017-e2,8,bsit2,3401,Vater des Kindes (falls nicht im Haushalt),,The child’s father (if not a resident of the same household),,bin,,,bsit2,,,,,,,,
soep-core,soep-core-2017-e2,8,bsit3,3401,Großeltern des Kindes,,The child’s grandparents,,bin,,,bsit3,,,,,,,,
soep-core,soep-core-2017-e2,8,bsit4,3401,Ältere Geschwister des Kindes,,Older siblings of the child,,bin,,,bsit4,,,,,,,,
soep-core,soep-core-2017-e2,8,bsit5,3401,Andere Verwandte,,Other relatives,,bin,,,bsit5,,,,,,,,
soep-core,soep-core-2017-e2,8,bsit6,3401,Tagesmutter (außer Haus),,Paid caregiver (outside the home),,bin,,,bsit6,,,,,,,,
soep-core,soep-core-2017-e2,8,bsit7,3401,Kinderfrau (in Ihrem Haushalt),,Paid caregiver (comes into your home),,bin,,,bsit7,,,,,,,,
soep-core,soep-core-2017-e2,8,bsit8,3401,"Krippe, Kindergarten, Kindertageseinrichtung ",,"Nursery school (creche, kindergarten)",,bin,,,bsit8,,,,,,,,
soep-core,soep-core-2017-e2,8,bsit9,3401,"Andere (z.B. Babysitter, Nachbarn) ",,"Other (friends, acquaintances, neighbors, etc.)",,bin,,,bsit9,,,,,,,,
soep-core,soep-core-2017-e2,8,bsitno,3401,"Nein, niemand",,"No, nobody",,bin,,,bsitno,,,,,,,,
soep-core,soep-core-2017-e2,8,bstd1,3401,[(Ehe) Partner] Stunden,,Hours [spouse / partner],,int,,,bstd1,,,,,,,,
soep-core,soep-core-2017-e2,8,bstd2,3401,[Vater des Kindes] Stunden,,Hours [father],,int,,,bstd2,,,,,,,,
soep-core,soep-core-2017-e2,8,bstd3,3401,[Großeltern des Kindes] Stunden,,Hours [grandparents],,int,,,bstd3,,,,,,,,
soep-core,soep-core-2017-e2,8,bstd4,3401,[Ältere Geschwister des Kindes] Stunden,,Hours [siblings],,int,,,bstd4,,,,,,,,
soep-core,soep-core-2017-e2,8,bstd5,3401,[Andere Verwandte] Stunden,,Hours [other relatives],,int,,,bstd5,,,,,,,,
soep-core,soep-core-2017-e2,8,bstd6,3401,[Tagesmutter (außer Haus)] Stunden,,Hours [paid caregiver outside home],,int,,,bstd6,,,,,,,,
soep-core,soep-core-2017-e2,8,bstd7,3401,[Kinderfrau (in Ihrem Haushalt)] Stunden,,Hours [paid caregiver inside home],,int,,,bstd7,,,,,,,,
soep-core,soep-core-2017-e2,8,bstd8,3401,"[Krippe, Kindergarten, Kindertageseinrichtung] Stunden",,Hours [nursery school],,int,,,bstd8,,,,,,,,
soep-core,soep-core-2017-e2,8,bstd9,3401,"[Andere (z.B. Babysitter, Nachbarn)] Stunden",,Hours [other],,int,,,bstd9,,,,,,,,
soep-core,soep-core-2017-e2,9,,10716,Wie oft haben Sie oder die Hauptbetreuungsperson in den letzten 14 Tagen gemeinsam mit Ihrem Kind folgende Aktivitäten ausgeführt?,,How many times in the last 14 days have you or the main caregiver engaged in the following activities with your child?,,txt,,,,,,,,,,,
soep-core,soep-core-2017-e2,9,baktiv1,10716,(Vor-)Singen von Kinderliedern,,Singing children’s songs with or to the child,,cat,812+,,baktiv1,,,,,,,,
soep-core,soep-core-2017-e2,9,baktiv2,10716,Spaziergänge an der frischen Luft,,Walking outside in the fresh air,,cat,812+,,baktiv2,,,,,,,,
soep-core,soep-core-2017-e2,9,baktiv3,10716,Malen oder Basteln,,Painting or doing arts and crafts,,cat,812+,,baktiv3,,,,,,,,
soep-core,soep-core-2017-e2,9,baktiv4,10716,Geschichten vorlesen oder erzählen,,Reading or telling stories,,cat,812+,,baktiv4,,,,,,,,
soep-core,soep-core-2017-e2,9,baktiv5,10716,Bilderbücher anschauen,,Looking at picture books,,cat,812+,,baktiv5,,,,,,,,
soep-core,soep-core-2017-e2,9,baktiv6,10716,Zum Spielplatz gehen,,Going to the playground,,cat,812+,,baktiv6,,,,,,,,
