"concept","topic","topic_prefix","label_de","label","label_old","label_de_old"
"_1042_p_mbr","T0804000000000000","mbr","Kein Mitglied v. Gewerks. Berufsverb","Not A Trade Union,Association Member","Not A Trade Union,Association Member","Kein Mitglied v. Gewerks. Berufsverb"
"_1043_p_oct","T0205010000000000","oct","Erwerbstaetig gewesen bis zum Jahr ..","Year Last Job Ended","Year Last Job Ended","Erwerbstaetig gewesen bis zum Jahr .."
"_1044_p_lme","T0201050000000000","lme","Nie erwerbstaetig","Never Gainfully Employed","Never Gainfully Employed","Nie erwerbstaetig"
"_1045_p_jcl","T0205050000000000","jcl","Letzter Erwerbsstatus","Employment Status In Last Job","Employment Status In Last Job","Letzter Erwerbsstatus"
"_1046_p_jcl","T0205050000000000","jcl","Letzter Betrieb,Oeffentlicher Dienst","Last Worked In Civil Service","Last Worked In Civil Service","Letzter Betrieb,Oeffentlicher Dienst"
"_1047_p_jcl","T0205050000000000","jcl","Letzte Stellung,Arbeiter","Last Worked As Blue-Collar Worker","Last Worked As Blue-Collar Worker","Letzte Stellung,Arbeiter"
"_1048_p_jcl","T0205050000000000","jcl","Letzte Stellung,Selbstaendige","Last Worked As Self-Employed","Last Worked As Self-Employed","Letzte Stellung,Selbstaendige"
"_1049_p_jcl","T0205050000000000","jcl","Letzte Stellung,Auszubildende, Praktikt.","Last Was In Training,Education","Last Was In Training,Education","Letzte Stellung,Auszubildende, Praktikt."
"_1050_p_jcl","T0205050000000000","jcl","Letzte Stellung,Angestellte","Last Worked As White-Collar Worker","Last Worked As White-Collar Worker","Letzte Stellung,Angestellte"
"_1051_p_jcl","T0205050000000000","jcl","Letzte Stellung,=Beamte","Last Worked As Public Servant","Last Worked As Public Servant","Letzte Stellung,=Beamte"
"_1065_p_oct","T0205010000000000","oct","Ende letzte Stellung im Jahr ..","Year Last Job Ended","Year Last Job Ended","Ende letzte Stellung im Jahr .."
"_107_p_tim","T0901000000000000","tim","Besorgungen Std., So","Hours Sunday Running Errands","Time use","Zeitverwendung"
"_1127_p_saf","T0705030000000000","saf","Wichtigster Kurs Nr.","Number Of Most Important Course","Number Of Most Important Course","Wichtigster Kurs Nr."
"_1128_p_saf","T0705030000000000","saf","Ein Kurs bzw. alle gleich wichtig","All Courses Are Equally Important","All Courses Are Equally Important","Ein Kurs bzw. alle gleich wichtig"
"_113_p_tim","T0901000000000000","tim","Hausarbt,Besorg.,Samstag.m.Ber.Tgkt,Std","Hours Saturday On Housework,Errands","Hours Saturday On Housework,Errands","Hausarbt,Besorg.,Samstag.m.Ber.Tgkt,Std"
"_114_p_tim","T0901000000000000","tim","Hausarbt,Besorg.,Samstag.o.Ber.Tgkt,Std","Hours Saturday On Housework,Errands","Hours Saturday On Housework,Errands","Hausarbt,Besorg.,Samstag.o.Ber.Tgkt,Std"
"_1141_p_fvi","T0705020700000000","fvi","Kursteilnahme","Initiative For Taking Course","Initiative For Taking Course","Kursteilnahme"
"_1148_p_fvf","T0705020800000000","fvf","Finan.Hilfe und zwar","Provider Of Financial Support","Provider Of Financial Support","Finan.Hilfe und zwar"
"_1153_p_fvf","T0705020800000000","fvf","Motivation zu BW ohne finaz.Hilfe","Further Education Exc Financial Support","Further Education Exc Financial Support","Motivation zu BW ohne finaz.Hilfe"
"_116_p_tim","T0901000000000000","tim","Hausarbt,Besorg.,Sonntag.m.Ber.Tgkt,Std","Hours Sunday On Housework,Errands","Hours Sunday On Housework,Errands","Hausarbt,Besorg.,Sonntag.m.Ber.Tgkt,Std"
"_1162_p_saf","T0705030000000000","saf","Hat sich Weiterbildung ausgezahlt","further education worthwhile","further education worthwhile","Hat sich Weiterbildung ausgezahlt"
"_1163_p_saf","T0705030000000000","saf","WB anwendbar i. anderem Betrieb","newly acquired skills useful in new job","newly acquired skills useful in new job","WB anwendbar i. anderem Betrieb"
"_1164_p_saf","T0705030000000000","saf","Medien zu Gesundh.fragen","Media About Health Topics","Media About Health Topics","Medien zu Gesundh.fragen"
"_1165_p_saf","T0705030000000000","saf","Medien zu Kindererz.,Schule","Media Lectures About Raising Children","Media Lectures About Raising Children","Medien zu Kindererz.,Schule"
"_1166_p_saf","T0705030000000000","saf","Medien zu Partnersch.fragen","Media About Personal, Family Problems","Media About Personal, Family Problems","Medien zu Partnersch.fragen"
"_1167_p_saf","T0705030000000000","saf","Medien zu Sprachkenntnissen","Media About Language Skills","Media About Language Skills","Medien zu Sprachkenntnissen"
"_1168_p_saf","T0705030000000000","saf","Medien zu prakt.,handw. Faehigkt.","Media About Practical Crafts Or Trades","Media About Practical Crafts Or Trades","Medien zu prakt.,handw. Faehigkt."
"_1169_p_saf","T0705030000000000","saf","Lehrgang zu PC,Internet","Lectures About PC, Internet","Lectures About PC, Internet","Lehrgang zu PC,Internet"
"_117_p_tim","T0901000000000000","tim","Hausarbt,Besorg.,Sonntag.o.Ber.Tgkt,Std","Hours Sunday On Housework,Errands","Hours Sunday On Housework,Errands","Hausarbt,Besorg.,Sonntag.o.Ber.Tgkt,Std"
"_1170_p_saf","T0705030000000000","saf","Medien zu PC,Internet","Media About PC, Internet","Media About PC, Internet","Medien zu PC,Internet"
"_1171_p_saf","T0705030000000000","saf","Medien zu kuenstl.,musikal. Faehigkt.","Media About Musical, Artistic Skills","Media About Musical, Artistic Skills","Medien zu kuenstl.,musikal. Faehigkt."
"_1172_p_saf","T0705030000000000","saf","Medien zu Versich.,Rente,Steuern","Media About Insurance, Taxes","Media About Insurance, Taxes","Medien zu Versich.,Rente,Steuern"
"_1173_p_saf","T0705030000000000","saf","Medien zu polit.,staatsbuergerl. Fragen","Media About Politics, Citizens Rights","Media About Politics, Citizens Rights","Medien zu polit.,staatsbuergerl. Fragen"
"_1174_p_saf","T0705030000000000","saf","Medien zu Naturwiss.,Technik","Media About Natural Sciences, Technology","Media About Natural Sciences, Technology","Medien zu Naturwiss.,Technik"
"_1175_p_saf","T0705030000000000","saf","Medien zu Umweltschutz","Media About Environmental Protection,","Media About Environmental Protection,","Medien zu Umweltschutz"
"_1176_p_saf","T0705030000000000","saf","Medien zu Sport","Media About Sport","Media About Sport","Medien zu Sport"
"_1177_p_saf","T0705030000000000","saf","Medien zu Wissen ueber Kunst,Literatur e","Media About Art, Literature, History","Media About Art, Literature, History","Medien zu Wissen ueber Kunst,Literatur e"
"_1178_p_saf","T0705030000000000","saf","Medien zu sonstigen Themen","Media About Other Topics","Media About Other Topics","Medien zu sonstigen Themen"
"_1179_p_old","T0303010000000000","old","Betrag Knappschaft A","Amt. Miner Pension-Self","Old-age and disability pensions","Alters- und Invalidenrente"
"_1196_p_tax","T0301030000000000","tax","Lohn- Einkommensteuer 1992 gezahlt","Paid Income Tax Two Years Ago","Paid Income Tax Two Years Ago","Lohn- Einkommensteuer 1992 gezahlt"
"_1198_p_tax","T0301030000000000","tax","Zweite Lohnsteuerkarte Klasse 6","Tax Deduction On Second Income","Tax Deduction On Second Income","Zweite Lohnsteuerkarte Klasse 6"
"_1199_p_tax","T0301030000000000","tax","T.n.z. hatte keine Steuerkarte","No Tax Deduction On Second Income","No Tax Deduction On Second Income","T.n.z. hatte keine Steuerkarte"
"_1200_p_tax","T0301030000000000","tax","Anz. der Kinder auf der Lohnst.karte","Number Of Children Under Tax Deduction","Number Of Children Under Tax Deduction","Anz. der Kinder auf der Lohnst.karte"
"_1201_p_tax","T0301030000000000","tax","Kein Kind auf der Lohnst.karte","No Children Under Tax Deduction","No Children Under Tax Deduction","Kein Kind auf der Lohnst.karte"
"_1202_p_tax","T0301030000000000","tax","Freibetrag auf der Lohnst.karte","Income Tax Deduction Previous Yr","Income Tax Deduction Previous Yr","Freibetrag auf der Lohnst.karte"
"_1203_p_tax","T0301030000000000","tax","Betrag des Freibetrages der L.karte","Amount Of Income Tax Deduction Prev Yr","Amount Of Income Tax Deduction Prev Yr","Betrag des Freibetrages der L.karte"
"_1204_p_mpl","T0604010000000000","mpl","Anlass f. Umzug in Ausland","Reason For Moving To Another Country","Reason For Moving To Another Country","Anlass f. Umzug in Ausland"
"_121_p_tim","T0901000000000000","tim","Kinderbetreuung, Samstag.m.Ber.Tgkt,Std","Hours Saturday On Child Care","Hours Saturday On Child Care","Kinderbetreuung, Samstag.m.Ber.Tgkt,Std"
"_1215_p_vod","T0702030000000000","vod","Kein Ausbildungsabschluss","No Degree","No Degree","Kein Ausbildungsabschluss"
"_1217_p_vod","T0702030000000000","vod","Berufsausbildung,Facharbeiterabschluss","Vocational,Specialist Training Completed","Vocational,Specialist Training Completed","Berufsausbildung,Facharbeiterabschluss"
"_1218_p_vod","T0702030000000000","vod","Meisterabschluss","Master Craftsman Degree","Master Craftsman Degree","Meisterabschluss"
"_1219_p_vod","T0702030000000000","vod","Ingenieur-,Fachschulabschluss","Engineer And Vocational School Degree","Engineer And Vocational School Degree","Ingenieur-,Fachschulabschluss"
"_122_p_tim","T0901000000000000","tim","Kinderbetreuung, Samstag.o.Ber.Tgkt,Std","Hours Saturday On Child Care","Hours Saturday On Child Care","Kinderbetreuung, Samstag.o.Ber.Tgkt,Std"
"_1220_p_vod","T0702030000000000","vod","Hochschul-,Universitaetsabschluss","College,University Degree","College,University Degree","Hochschul-,Universitaetsabschluss"
"_1221_p_vod","T0702030000000000","vod","Sonstiger Ausbildungsabschluss","Other Type Of Education Completed","Other Type Of Education Completed","Sonstiger Ausbildungsabschluss"
"_1222_p_vod","T0702030000000000","vod","Keinen Ausbildungsabschluss","No Degree","No Degree","Keinen Ausbildungsabschluss"
"_1224_p_seh","T0607020000000000","seh","Zweitwohnung, liegt wo?","Location of Second Residence","Second Residence In West,East Germany","Zweitwohg. in West- Ostdeutschland"
"_1225_p_seh","T0607020000000000","seh","gemeldeter 2. Wohnsitz","Registered 2. Residence","Registered 2. Residence","gemeldeter 2. Wohnsitz"
"_1226_p_seh","T0607020000000000","seh","bei Zweitwohnung, welche wird genutzt?","Dwelling Used Predominantly","Dwelling Used Predominantly","Welche Wohnung wird ueberwiegend benutzt"
"_1227_p_seh","T0607020000000000","seh","Von welcher Wohng zur Arbeit,Schule","From Which Dwelling To Work","From Which Dwelling To Work","Von welcher Wohng zur Arbeit,Schule"
"_1228_p_ona","T1001010200000000","ona","Staatsangeheorigkeit","Nationality","Nationality","Staatsangeheorigkeit"
"_1229_p_bmi","T1001010100000000","bmi","Seit wann in Ost-,Westteil Dtschlands","Since when in East,West Germany ... Filter","Since when in East,West Germany ... Filter","Seit wann in Ost-,Westteil Dtschlands"
"_1230_p_bmi","T1001010100000000","bmi","Seit welchem Jahr in Ost-,Westdeutl.","Since when in East,West Germany ... Year","Since when in East,West Germany ... Year","Seit welchem Jahr in Ost-,Westdeutl."
"_1231_p_bmi","T1001010100000000","bmi","Wo vorher gelebt","Area Of Origin","Area Of Origin","Wo vorher gelebt"
"_1232_p_rer","T0609000000000000","rer","Umzug zw. Ost- und West-Deutschland","Moved Between East And West Germany","Moved Between East And West Germany","Umzug zw. Ost- und West-Deutschland"
"_1233_p_fvc","T0705020500000000","fvc","Thema, Inhalt des Kurses codiert","Subject, Course Content Coded","Subject, Course Content Coded","Thema, Inhalt des Kurses codiert"
"_1234_p_ola","T0610010100000000","ola","Handarbeiten","Craft Work","Craft Work","Handarbeiten"
"_1235_p_ola","T0610010100000000","ola","Renovieren, Tapezieren etc.","Renovation","Renovation","Renovieren, Tapezieren etc."
"_1236_p_ola","T0610010100000000","ola","Reparaturen in und am Haus, der Wohnung","Home Repair","Home Repair","Reparaturen in und am Haus, der Wohnung"
"_1237_p_ola","T0610010100000000","ola","Reparaturen am Auto, Motorrad usw.","Auto Repair","Auto Repair","Reparaturen am Auto, Motorrad usw."
"_1238_p_ola","T0610010100000000","ola","Obst- und Gemueseanbau im Garten","Garden Work","Garden Work","Obst- und Gemueseanbau im Garten"
"_1239_p_ola","T0610010100000000","ola","Sonstige Eigenarbeit","Other Do-It-Yourself Work","Other Do-It-Yourself Work","Sonstige Eigenarbeit"
"_124_p_tim","T0901000000000000","tim","Kinderbetreuung, Sonntag.m.Ber.Tgkt,Std","Hours Sunday On Child Care","Hours Sunday On Child Care","Kinderbetreuung, Sonntag.m.Ber.Tgkt,Std"
"_1240_p_ola","T0610010100000000","ola","Keine Eigenarbeit","No Do-It-Yourself Work","No Do-It-Yourself Work","Keine Eigenarbeit"
"_1241_p_olm","T0610010200000000","olm","Mir machen diese Arbeiten Spass","Enjoy Do-It-Yourself Work","Enjoy Do-It-Yourself Work","Mir machen diese Arbeiten Spass"
"_1242_p_olm","T0610010200000000","olm","Eigenarbeit ist besser oder schneller","Do-It-Yourself Work Is Better Or Faster","Do-It-Yourself Work Is Better Or Faster","Eigenarbeit ist besser oder schneller"
"_1243_p_olm","T0610010200000000","olm","Ich spare dadurch Geld","Save Money By Doing It Myself","Save Money By Doing It Myself","Ich spare dadurch Geld"
"_1245_p_sde","T0203010000000000","sde","Derzeitige Beschaeftigung","Duration Of Work Contract","Duration Of Work Contract","Derzeitige Beschaeftigung"
"_1246_p_dtw","T0203050100000000","dtw","T.n.z., Wechselnder Arbeitsort","Does Not Apply","Does Not Apply","T.n.z., Wechselnder Arbeitsort"
"_1247_p_whd","T0204020000000000","whd","Woechentlich wechselnde Zahl der Tage","No Fixed Number Of Days Per Week","No Fixed Number Of Days Per Week","Woechentlich wechselnde Zahl der Tage"
"_1248_p_isd","T0501040000000000","isd","Grad d.Behinderung festgestellt, Jahr","Year Degree Of Disability Determined","Year Degree Of Disability Determined","Grad d.Behinderung festgestellt, Jahr"
"_1249_p_trf","T0302000000000000","trf","Private Pflegeversicherung","Private Long Term Care Insurance","Private Long Term Care Insurance","Private Pflegeversicherung"
"_125_p_tim","T0901000000000000","tim","Kinderbetreuung, Sonntag.o.Ber.Tgkt,Std","Hours Sunday On Child Care","Hours Sunday On Child Care","Kinderbetreuung, Sonntag.o.Ber.Tgkt,Std"
"_1250_p_trf","T0302000000000000","trf","Soz.Sicherung nicht erwerbst.Ehepartner","Social Security For Non-Working Spouse","Social Security For Non-Working Spouse","Soz.Sicherung nicht erwerbst.Ehepartner"
"_1270_p_fnw","T0404030000000000","fnw","Freunde - vorhanden,nicht vorhanden","Help From Non-Relatives","Help From Non-Relatives","Freunde - vorhanden,nicht vorhanden"
"_1271_p_fnw","T0404030000000000","fnw","Erste Person - Entfernung","Where Does First Person Live","Where Does First Person Live","Erste Person - Entfernung"
"_1272_p_fnw","T0404030000000000","fnw","Erste Person - Beziehung","Nature Of Relationship To First Person","Nature Of Relationship To First Person","Erste Person - Beziehung"
"_1273_p_fnw","T0404030000000000","fnw","Zweite Person - Entfernung","Where Does Second Person Live","Where Does Second Person Live","Zweite Person - Entfernung"
"_1274_p_fnw","T0404030000000000","fnw","Zweite Person - Beziehung","Nature Of Relationship To Second Person","Nature Of Relationship To Second Person","Zweite Person - Beziehung"
"_1275_p_fnw","T0404030000000000","fnw","Zweite Person - nicht vorhanden","Second Person Is Not Present","Second Person Is Not Present","Zweite Person - nicht vorhanden"
"_1276_p_fnw","T0404030000000000","fnw","Dritte Person - Entfernung","Where Does Third Person Live","Where Does Third Person Live","Dritte Person - Entfernung"
"_1277_p_fnw","T0404030000000000","fnw","Dritte Person - Beziehung","Nature Of Relationship To Third Person","Nature Of Relationship To Third Person","Dritte Person - Beziehung"
"_1278_p_fnw","T0404030000000000","fnw","Dritte Person - nicht vorhanden","Third Person Is Not Present","Third Person Is Not Present","Dritte Person - nicht vorhanden"
"_1279_p_cdv","T0203020400000000","cdv","Ueberstunden im letzten Jahr - Umfang","Chance Of Overtime Or Special Shifts","Chance Of Overtime Or Special Shifts","Ueberstunden im letzten Jahr - Umfang"
"_1286_p_wry","T0801040000000000","wry","Sorgen:Verlust v. Vermoegensrechten etc.","Worried About Rights Of Use And Assets","Worried About Rights Of Use And Assets","Sorgen:Verlust v. Vermoegensrechten etc."
"_1287_p_wry","T0801040000000000","wry","Sorgen: ueber neue Lebensbedingungen","Worried About Adapting To Change","Worried About Adapting To Change","Sorgen: ueber neue Lebensbedingungen"
"_129_p_tim","T0901000000000000","tim","Ausbildg,Schule, Samstag.m.Ber.Tgkt,Std","Hours Saturday On Education","Hours Saturday On Education","Ausbildg,Schule, Samstag.m.Ber.Tgkt,Std"
"_1293_p_jcl","T0201010000000000","ljo","Branche nach NACE","2 Digit NACE Industry, Sector","2 Digit NACE Industry, Sector","Branche nach NACE"
"_130_p_tim","T0901000000000000","tim","Ausbildg,Schule, Samstag.o.Ber.Tgkt,Std","Hours Sunday On Education","Hours Sunday On Education","Ausbildg,Schule, Samstag.o.Ber.Tgkt,Std"
"_1301_p_aws","T0610030000000000","aws","Beschaffung: eigenes Konto","Financed From Own Account","Financed From Own Account","Beschaffung: eigenes Konto"
"_1302_p_aws","T0610030000000000","aws","Beschaffung: von HH-Mitglied","Financed By HH-Member","Financed By HH-Member","Beschaffung: von HH-Mitglied"
"_1303_p_aws","T0610030000000000","aws","Beschaffung: von Verwandten","Financed By Relatives","Financed By Relatives","Beschaffung: von Verwandten"
"_1304_p_aws","T0610030000000000","aws","Beschaffung: Bankkredit","Financed By Bank Loan","Financed By Bank Loan","Beschaffung: Bankkredit"
"_1305_p_aws","T0610030000000000","aws","Beschaffung: Sonstiges","Financed By Other","Financed By Other","Beschaffung: Sonstiges"
"_132_p_tim","T0901000000000000","tim","Ausbildg,Schule, Sonntag.m.Ber.Tgkt,Std","Hours Sunday On Education","Hours Sunday On Education","Ausbildg,Schule, Sonntag.m.Ber.Tgkt,Std"
"_133_p_tim","T0901000000000000","tim","Ausbildg,Schule, Sonntag.o.Ber.Tgkt,Std","Hours Sunday On Education","Hours Sunday On Education","Ausbildg,Schule, Sonntag.o.Ber.Tgkt,Std"
"_136_p_tim","T0901000000000000","tim","Reparaturen etc. Std., Sa","Hours Saturday Repairs,Garden Work","Hours Saturday On Handicraft Work","Basteln,Reparat.,Samstag.m.Ber.Tgkt,Std"
"_137_p_tim","T0901000000000000","tim","Basteln,Reparat.,Samstag.o.Ber.Tgkt,Std","Hours Saturday On Handicraft Work","Hours Saturday On Handicraft Work","Basteln,Reparat.,Samstag.o.Ber.Tgkt,Std"
"_139_p_tim","T0901000000000000","tim","Basteln,Reparat.,Sonntag.m.Ber.Tgkt,Std","Hours Sunday On Handicraft Work","Hours Sunday On Handicraft Work","Basteln,Reparat.,Sonntag.m.Ber.Tgkt,Std"
"_140_p_tim","T0901000000000000","tim","Basteln,Reparat.,Sonntag.o.Ber.Tgkt,Std","Hours Sunday On Handicraft Work","Hours Sunday On Handicraft Work","Basteln,Reparat.,Sonntag.o.Ber.Tgkt,Std"
"_1414_p_ocr","T0205020000000000","ocr","Einvernehmliche Aufloesung","Mutual Termination","Mutual Termination","Einvernehmliche Aufloesung"
"_1415_p_ocr","T0205020000000000","ocr","Heirat","Quit Job For Marriage","Quit Job For Marriage","Heirat"
"_1416_p_ocr","T0205020000000000","ocr","Kinderbetreuung","Quit Job For Child Care","Quit Job For Child Care","Kinderbetreuung"
"_1417_p_ocr","T0205020000000000","ocr","Betreuung pflegebeduerftiger Person","Quit Job To Care For Someone","Quit Job To Care For Someone","Betreuung pflegebeduerftiger Person"
"_1418_p_ocr","T0205020000000000","ocr","Berufsunfaehigkeit","Quit Job Due To Occupational Disability","Quit Job Due To Occupational Disability","Berufsunfaehigkeit"
"_1419_p_ocr","T0205020000000000","ocr","Erwerbsunfaehigkeit","Quit Job Because Of Incapacity For Work","Quit Job Because Of Incapacity For Work","Erwerbsunfaehigkeit"
"_1420_p_ocr","T0205020000000000","ocr","Sonstige gesundheitliche Gruende","Quit Job Because Of Other Health Reasons","Quit Job Because Of Other Health Reasons","Sonstige gesundheitliche Gruende"
"_1421_p_ocr","T0205020000000000","ocr","Erreichen der Altersgrenze","Quit Job When Reached Retirement Age","Quit Job When Reached Retirement Age","Erreichen der Altersgrenze"
"_1422_p_ocr","T0205020000000000","ocr","Vorzeitige Rente/Pension","Quit Job Because Of Early Retirement","Quit Job Because Of Early Retirement","Vorzeitige Rente/Pension"
"_1423_p_ocr","T0205020000000000","ocr","Wehr-,Zivildienst","Quit Job For Military,Community Service","Quit Job For Military,Community Service","Wehr-,Zivildienst"
"_1424_p_ocr","T0205020000000000","ocr","Aerger mit Vorgesetzten","Quit Job Due To Difficulties With Boss","Quit Job Due To Difficulties With Boss","Aerger mit Vorgesetzten"
"_1425_p_ocr","T0205020000000000","ocr","Umzug","Quit Job When Moved","Quit Job When Moved","Umzug"
"_1426_p_ocr","T0205020000000000","ocr","Rationalisierung im Betrieb","Quit Job Because Of Company Down-Sizing","Quit Job Because Of Company Down-Sizing","Rationalisierung im Betrieb"
"_1427_p_ocr","T0205020000000000","ocr","Konkurs","Quit Job Because Of Bankruptcy","Quit Job Because Of Bankruptcy","Konkurs"
"_1428_p_ocr","T0205020000000000","ocr","Berufliche Veraenderung","Quit Job Due To Occupational Change","Quit Job Due To Occupational Change","Berufliche Veraenderung"
"_1429_p_ocr","T0205020000000000","ocr","Bessere Stelle","Quit Job For Better Job","Quit Job For Better Job","Bessere Stelle"
"_1430_p_ocr","T0205020000000000","ocr","Fortbildung, Umschulung","Quit Job To Continue Education","Quit Job To Continue Education","Fortbildung, Umschulung"
"_1431_p_ocr","T0205020000000000","ocr","Finanzielle Gruende","Quit Job When Financially Independent","Quit Job When Financially Independent","Finanzielle Gruende"
"_1432_p_ocr","T0205020000000000","ocr","Sonstige Gruende","Quit Job Because Of Other Reasons","Quit Job Because Of Other Reasons","Sonstige Gruende"
"_1433_p_sde","T0203010000000000","sde","Beginn jetzige Stelle, Jahr","Year Began Current Employment","Year Began Current Employment","Beginn jetzige Stelle, Jahr"
"_1434_p_sde","T0203010000000000","sde","Beginn jetzige Stelle, Monat","Month Began Current Employment","Month Began Current Employment","Beginn jetzige Stelle, Monat"
"_1435_p_whd","T0204020000000000","whd","Wechselschicht","Shift Work Available","Shift Work Available","Wechselschicht"
"_1436_p_whd","T0204020000000000","whd","Moeglichkeit zu Gleitzeit","Flexible Working Hours","Flexible Working Hours","Moeglichkeit zu Gleitzeit"
"_1437_p_dtw","T0203050100000000","dtw","Wochenendpendler","Weekend Commuter","Weekend Commuter","Wochenendpendler"
"_1438_p_sim","T0203040200000000","sim","Bedeutung der Berufstaetigkeit","Importance Of Job","Importance Of Job","Beruf sehr wichtig"
