"study","dataset","variable","label","concept"
"soep-fid","f10p","f10p103c2","An Ehepartner Betrag","punt32"
"soep-fid","f10p","f10p103c3","Ehepartner lebt in Deutschland","punt33"
"soep-fid","f10p","f10p103c4","Ehepartner lebt im Ausland","punt34"
"soep-fid","f10p","f10p103d1","An sonst. Verwandte Zahlung","punt41"
"soep-fid","f10p","f10p103d2","An sonst. Verwandte Betrag","punt42"
"soep-fid","f10p","f10p103d3","Verwandte leben in Deutschland","punt43"
"soep-fid","f10p","f10p103d4","Verwandte leben im Ausland","punt44"
"soep-fid","f10p","f10p103e1","An nicht verwandte Person Zahlung","punt51"
"soep-fid","f10p","f10p103e2","An nicht verwandte Person Betrag","punt52"
"soep-fid","f10p","f10p103f","Keine Zahlung","puntno"
"soep-fid","f10p","f10p016","Passende Stelle sofort annehmen","pnerw09"
"soep-fid","f10p","f10p104","Lebenszufriedenheit gegenwaertig","pzule1"
"soep-fid","f10p","f10p017","Aktive Stellensuche letzte 4 Wochen","pnerw10"
"soep-fid","f10p","f10p018","Seit Vorjahr neue Arbeit","pwexl1"
"soep-fid","f10p","f10p019a","Jetzige Stelle angetreten Monat Vorjahr","pwexl2"
"soep-fid","f10p","f10p019b","Jetzige Stelle angetreten Monat aktuelles Jahr","pwexl3"
"soep-fid","f10p","f10p019c","Jetzige Stelle angetreten K.A.","pwexlka"
"soep-fid","f10p","f10p020a","Art der berufliche Veraenderung","pwexl4"
"soep-fid","f10p","f10p020b","Unterstuetzung der Selbst. durch oeffentliche Foerderung","pwexl5"
"soep-fid","f10p","f10p021_is88","ISCO88, Hauptberuf","_634_p_oap"
"soep-fid","f10p","f10p021_klas","Klassifikation Beruf nach StaBu 92, Hauptberuf","_633_p_oap"
"soep-fid","f10p","f10p022","Taetigkeit entspricht Beruf","pberja"
"soep-fid","f10p","f10p023","Benoetigte Ausbildung","pberaus"
"soep-fid","f10p","f10p024a","Kurze Einweisung am Arbeitsplatz","peinar1"
"soep-fid","f10p","f10p024b","Laengere Einarbeitung im Betrieb","peinar2"
"soep-fid","f10p","f10p024d","Einarbeitung - Gesamt k.A.","peinka"
"soep-fid","f10p","f10p025","Betrieb d. oeffentl. Dienstes","poed"
"soep-fid","f10p","f10p026_nace","Branche nach NACE","_1293_p_jcl"
"soep-fid","f10p","f10p027","Anzahl Beschaeftigte","pgesunt"
"soep-fid","f10p","f10p028a","Bei jetzigen Arbeitgeber, Monat","pseitm"
"soep-fid","f10p","f10p028b","Bei jetzigen Arbeitgeber, Jahr","pseitj"
"soep-fid","f10p","f10p029","Zeit-/Leiharbeit","pzaf"
"soep-fid","f10p","f10p030","Frist der derzeitigen Beschaeftigung","pbefr1"
"soep-fid","f10p","f10p031","ABM- oder Gemeinnuetzige Arbeit","pbefr2"
"soep-fid","f10p","f10p032a","Derzeitige Stellung Arbeiter","parb"
"soep-fid","f10p","f10p032b1","Derzeitige Stellung Selbstaendige, Landwirte","psst1"
"soep-fid","f10p","f10p032b2","Derzeitige Stellung Selbstaendige,Freie Berufe","psst2"
"soep-fid","f10p","f10p032b3","Derzeitige Stellung Selbstaendige, Sonstige","psst3"
"soep-fid","f10p","f10p032b4","Derzeitige Stellung mithelfendes Familienmitglied","psst4"
"soep-fid","f10p","f10p032c","Derzeitige Stellung Auszubildende, Praktikant","pazubi"
"soep-fid","f10p","f10p032d","Derzeitige Stellung Angestellte","pang"
"soep-fid","f10p","f10p032e","Derzeitige Stellung Beamte","pamt"
"soep-fid","f10p","f10p032f","Derzeitige Stellung K.A.","pberka"
"soep-fid","f10p","f10p033","Chancen gleichwertige Stelle zu finden","pverl"
"soep-fid","f10p","f10p034","Arbeitsplatz alte,neue BL.,Ausland","pwohn2"
"soep-fid","f10p","f10p035","Arbeitsplatz an Wohnort","pwohn1"
"soep-fid","f10p","f10p036","Pendelfahrten","pwohn3"
"soep-fid","f10p","f10p037a","Entfernung von Wohnung zur Arbeit in km","pwohn4"
"soep-fid","f10p","f10p037b","Entfernung Arbeit n. zu sagen","pwohn5"
"soep-fid","f10p","f10p045a","Wochenstunden vereinbart","paz08"
"soep-fid","f10p","f10p045b","Keine festgelegte Arbeitszeit","paz09"
"soep-fid","f10p","f10p046","Wochenstunden tatsaechlich","paz10"
"soep-fid","f10p","f10p047","Mini-Job, Midi-Job","paz11"
"soep-fid","f10p","f10p065c2","Arbeitslosengeld Bruttobetrag pro Monat","pek031"
"soep-fid","f10p","f10p065f1","Vorruhestandszahlungen","pek06"
"soep-fid","f10p","f10p065f2","Vorruhestandszahlungen Bruttobetrag pro Monat","pek061"
"soep-fid","f10p","f10p065g1","Mutterschaftsgeld etc.","pek07"
"soep-fid","f10p","f10p065g2","Mutterschaftsgeld Bruttobetrag pro Monat","pek071"
"soep-fid","f10p","f10p065l2","Bafoeg, Stipendium Bruttobetrag pro Monat","pek081"
"soep-fid","f10p","f10p065m1","Wehr-, Zivildienstsold","pek09"
"soep-fid","f10p","f10p065m2","Wehr-, Zivildienstsold Bruttobetrag pro Monat","pek091"
"soep-fid","f10p","f10p066","Seit Anfang Vorjahr aus Beruf ausgeschieden","pend1"
"soep-fid","f10p","f10p067c","Ende letzte Stelle K.A.","pendka"
"soep-fid","f10p","f10p067a","Ende letzte Stelle Monat Vorjahr","pend2"
"soep-fid","f10p","f10p067b","Ende letzte Stelle Monat aktuelles Jahr","pend3"
"soep-fid","f10p","f10p068a","Dauer letzte Stelle, Jahre","pend4"
"soep-fid","f10p","f10p068b","Dauer letzte Stelle, Monate","pend5"
"soep-fid","f10p","f10p069","Art Beendigung des Beschaeftigungs Verhaeltnis","pend6"
"soep-fid","f10p","f10p070a","Voll erwerbstaetig, Jan-Dez Vorjahr","pkal01"
"soep-fid","f10p","f10p070b","Kurzarbeit, Jan-Dez Vorjahr","pkal13"
"soep-fid","f10p","f10p070e","Ausbildung, Jan-Dez Vorjahr","pkal03"
"soep-fid","f10p","f10p071a2","Brutto Lohn als Arbeitnehmer Monate Vorjahr","pvek011"
"soep-fid","f10p","f10p071a3","Brutto Lohn als Arbeitnehmer Betrag Vorjahr","pvek012"
"soep-fid","f10p","f10p071a4","Netto Lohn als Arbeitnehmer Betrag Vorjahr","pvek013"
"soep-fid","f10p","f10p071b1","Brutto Einkuenfte a. selbstaendiger Taetigkeit bez. Vorjahr","pvek02"
"soep-fid","f10p","f10p071b2","Brutto Einkuenfte a. selbstaendiger Taetigkeit Mon. Vorjahr","pvek021"
"soep-fid","f10p","f10p071b4","Netto Einkuenfte a. selbstaendiger Taetigkeit Btr. Vorjahr","pvek023"
"soep-fid","f10p","f10p071c1","Einkuenfte a. Nebenerwerb bezogen Vorjahr","pvek03"
"soep-fid","f10p","f10p071c3","Einkuenfte a. Nebenerwerb Betrag Vorjahr","pvek032"
"soep-fid","f10p","f10p071d1","Altersrente etc bezogen Vorjahr","pvek04"
"soep-fid","f10p","f10p071d2","Altersrente etc Monate Vorjahr","pvek041"
"soep-fid","f10p","f10p071e1","Witwenrente etc bezogen Vorjahr","pvek05"
"soep-fid","f10p","f10p071h1","Arbeitslosengeld bezogen Vorjahr","pvek06"
"soep-fid","f10p","f10p071h2","Arbeitslosengeld Monate Vorjahr","pvek061"
"soep-fid","f10p","f10p071p1","Im Vorjahr keine dieser Einkunftsarten","pvekno"
"soep-fid","f10p","f10p071q1","ALG_II Sozialgeld bezogen Vorjahr","pvek07"
"soep-fid","f10eltern2","f10e2pnrm","Laufende Personennummer der Mutter/des Vaters","pnr"
"soep-fid","f10p","f10p071t3","Unterhaltsvorschuss Betrag Vorjahr","pvek182"
"soep-fid","f10p","f10p072a1","13. Monatsgehalt Vorjahr","pzus01"
"soep-fid","f10p","f10p072a2","13. Monatsgehalt Vorjahr Betrag","pzus011"
"soep-fid","f10p","f10p072b1","14. Monatsgehalt Vorjahr","pzus02"
"soep-fid","f10p","f10p072b2","14. Monatsgehalt Vorjahr Betrag","pzus021"
"soep-fid","f10p","f10p072c2","Weihnachtsgeld Vorjahr Betrag","pzus031"
"soep-fid","f10p","f10p072d1","Urlaubsgeld Vorjahr","pzus04"
"soep-fid","f10p","f10p075c1","Altersrente Zusatzversorgung oeffentlicher Dienst (in EURO)","par5"
"soep-fid","f10p","f10p075c2","Witwenrente Zusatzversorgung oeffentlicher Dienst (in EURO)","pwr5"
"soep-fid","f10p","f10p075d1","Altersrente betriebliche Altersversorgung (in EURO)","par6"
"soep-fid","f10p","f10p075d2","Witwenrente betriebliche Altersversorgung (in EURO)","pwr6"
"soep-fid","f10p","f10p075e1","Private Altersrente (in EURO)","par7"
"soep-fid","f10p","f10p075e2","Private Witwenrente (in EURO)","pwr7"
"soep-fid","f10p","f10p075f1","Altersrente Unfallversicherung (in EURO)","par4"
"soep-fid","f10p","f10p075f2","Witwenrente Unfallversicherung (in EURO)","pwr4"
"soep-fid","f10p","f10p075g1","Altersrente Kriegsopferversorgung (in EURO)","par3"
"soep-fid","f10p","f10p075g2","Witwenrente Kriegsopferversorgung (in EURO)","pwr3"
"soep-fid","f10p","f10p075h1","Altersrente Sonstige (in EURO)","par8"
"soep-fid","f10p","f10p075h2","Witwenrente Sonstige (in EURO)","pwr8"
"soep-fid","f10p","f10p075i1","Altersrente - Gesamt k.A.","parka"
"soep-fid","f10p","f10p075i2","Witwenrente - Gesamt k.A.","pwrka"
"soep-fid","f10p","f10p076","Gesundheitszustand gegenwaertig","pges01"
"soep-fid","f10p","f10p078","Chronische Krankheiten","pkr17"
"soep-fid","f10p","f10p079a","Stunden Schlaf, normaler Werktag","pschl1"
"soep-fid","f10p","f10p079b","Stunden Schlaf, am Wochenende","pschl2"
"soep-fid","f12eltern2","f12e210b","Keine aerztl. Hilfe erste 3 Monate","e2arz3"
"soep-fid","f12eltern2","f12e214a","Letzte durchgefuehrte U-Untersuchung","e2unt"
"soep-fid","f12eltern2","f12e214b","Keine U-Untersuchung","e2untno"
"soep-fid","f10p","f10p082b","Arztbesuche Keine","pdr2"
"soep-fid","f12eltern2","f12e216a","Krankenhausaufenthalt letzte 12 Monate","e2ges3"
"soep-fid","f12eltern2","f12e216b","Anzahl Tage im KH letzte 12 Monate","e2ges4"
"soep-fid","f12eltern2","f12e217a","Aerztliche Hilfe letzte 3 Monate","e2arz1"
"soep-fid","f12eltern2","f12e217b","Anzahl aerztl. Hilfe i. d. letzten 3 Monaten","e2arz2a"
"soep-fid","f10p","f10pnr","Lfd. Personennummer","pnr"
"soep-fid","f12h","f12h080i3","Fernseher Anschaffung Kosten","hi03b"
"soep-fid","f12h","f12h080j3","DVD-Player Anschaffung Kosten","hi05b"
"soep-fid","f12h","f12h080k3","DVD-Recorder Anschaffung Kosten","hi16b"
"soep-fid","f12h","f12h080l3","PC/Laptop Anschaffung Kosten","hi07b"
"soep-fid","f12h","f12h080m3","Breitband-Internet Anschaffung Kosten","hi17b"
"soep-fid","f12h","f12h080n3","Langsames Internet Anschaffung Kosten","hi08b"
"soep-fid","f10pbrutto","f10e1","Bearbeitungsergebnis Elternfragebogen 1 (0-1 Jahre)","e1"
"soep-fid","f10pbrutto","f10e2","Bearbeitungsergebnis Elternfragebogen 2 (1-2 Jahre)","e2"
"soep-fid","f10pbrutto","f10e3","Bearbeitungsergebnis Elternfragebogen 3 (2-3 Jahre)","e3"
"soep-fid","f10pbrutto","f10e4","Bearbeitungsergebnis Elternfragebogen 4 (5-6 Jahre)","e4"
"soep-fid","f10pbrutto","f10e5","Bearbeitungsergebnis Elternfragebogen 5 (7-8 Jahre)","e5"
"soep-fid","f10pbrutto","f10e6","Bearbeitungsergebnis Elternfragebogen 6 (9-10 Jahre)","e6"
"soep-fid","f10pbrutto","f10abwesj","Jahr der temp. Abwesenheit","abwesj"
"soep-fid","f10pbrutto","f10abwesm","Monat der temp. Abwesenheit","abwesm"
"soep-fid","f10pbrutto","f10geburt","Geburtsjahr","geburt"
"soep-fid","f12h","f12h081c2","Ausgaben Bekleidung/Schuhe monatlich","haus03b"
"soep-fid","f10pbrutto","f10hhnrold","HH-Nummer Vorjahr mit Pfkz.","hhnrold"
"soep-fid","f10pbrutto","f10lint","Letztes Interview in Welle","lint"
"soep-fid","f10pbrutto","f10luecke","Lueckenbearbeitung","luecke"
"soep-fid","f10pbrutto","f10pader","Adressermittlung","pader"
"soep-fid","f10pbrutto","f10paderq","Info-Quelle fuer Adressermittlung","paderq"
"soep-fid","f10pbrutto","f10pbio","Bearbeitungsergebnis Biographie","pbio"
"soep-fid","f10pbrutto","f10perg","Bearbeitungsergebnis 1-Steller","perg"
"soep-fid","f10pbrutto","f10pergz","Bearbeitungsergebnis 2-Steller","pergz"
"soep-fid","f10pbrutto","f10pergzv","Bearbeitungsergebnis im Vorjahr","pergzv"
"soep-fid","f12h","f12h081e4","Ausgaben Gesundheit k.A.","haus05ka"
"soep-fid","f12h","f12h081f1","Ausgaben Telekommunikation","haus06a"
"soep-fid","f10pbrutto","f10pnat","Staatsangehoerigkeit","pnat"
"soep-fid","f10pbrutto","f10pnrakt","Lfd. Personen-Nr. im HH","pnrakt"
"soep-fid","f10pbrutto","f10pnrold","Lfd. Personen-Nr. im HH im Vorjahr","pnrold"
"soep-fid","f10pbrutto","f10pzug","Zugehoerigkeit zum HH","pzug"
"soep-fid","f11eltern2","f11e210a","Anzahl aerztl. Hilfe erste 3 Monate","e2arz2"
"soep-fid","f11eltern2","f11e210b","Keine aerztl. Hilfe erste 3 Monate","e2arz3"
"soep-fid","f11eltern2","f11e211a","Krankenhaus erste 3 Monate","e2ges1"
"soep-fid","f11eltern2","f11e212b","Monate Kind gestillt","e2stil2"
"soep-fid","f10pbrutto","f10zupan","Zugangswelle zum Panel","zupan"
"soep-fid","f11eltern2","f11e213b","Erstmals bei Untersuchung U","e2storu"
"soep-fid","f11eltern2","f11e214a","Letzte durchgefuehrte U-Untersuchung","e2unt"
"soep-fid","f11eltern2","f11e214b","Keine U-Untersuchung","e2untno"
"soep-fid","f12h","f12h081i2","Ausgaben Freizeit, Hobbies, Sport, Garten, Tiere monatlich","haus09b"
"soep-fid","f10pgen","scedua10","Secondary school degree/diploma abroad 2010","_pgen_pgsbila"
"soep-fid","f10pgen","scedue10","Secondary school degree/diploma East Germany 2010","_pgen_pgsbilo"
"soep-fid","f10pgen","acthrs10","Actual weekly working hours 2010","_pgen_pgtatzt"
"soep-fid","f10pgen","ovrhrs10","Overtime per week 2010","_pgen_pguebstd"
"soep-fid","f10pgen","agrhrs10","Agreed-upon weekly working hours 2010","_pgen_pgvebzt"
"soep-fid","f10pgen","cosize10","Size of company 2010","_pgen_pgbetr"
"soep-fid","f10pgen","casmin10","Highest degree/diploma according to CASMIN 2010","_pgen_pgcasmin"
"soep-fid","f10pgen","coupst10","Partner Status in 2010","fid_"
"soep-fid","f11pgen","degree11","Type of tertiary degree","fid_"
"soep-fid","f12pgen","field12","Field of tertiary education","fid_"
"soep-fid","f12h","f12h002f","Gruende fuer Umzug: Trennung/Scheidung","humz06"
"soep-fid","f11eltern2","f11e2pnr","Laufende Personennummer des Kindes","e2pnr"
"soep-fid","f11eltern2","f11e2pnrm","Laufende Personennummer der Mutter/des Vaters","pnr"
"soep-fid","f10pgen","impnet10","Imputation flag for labnet10","_pgen_pgimpnet"
"soep-fid","f10pgen","isced10","ISCED-1997 Classification 2010","_pgen_pgisced"
"soep-fid","f10pgen","isei10","ISEI-status 88 by Ganzeboom (based on ISCO88) 2010","_pgen_pgisei"
"soep-fid","f10pgen","jobch10","Job change 2010","_pgen_pgjobch"
"soep-fid","f10pgen","class10","StaBuA 1992 job classification 2010","_pgen_pgklas"
"soep-fid","f10pgen","labgro10","Current gross labor income in euros (generated)","_pgen_pglabgro"
"soep-fid","f10pgen","labnet10","Current net labor income in euros (generated)","_pgen_pglabnet"
"soep-fid","f10pgen","lfs10","Labor force status 2010","_pgen_pglfs"
"soep-fid","f10pgen","mps10","Magnitude-Prestige Scala - Wegener 2010","_pgen_pgmps"
"soep-fid","f10pgen","nace10","Two-digit NACE industry sector 2010","_pgen_pgnace"
"soep-fid","f10pgen","nation10","Citizenship - nationality 2010","_pgen_pgnation"
"soep-fid","f10pgen","civils10","Civil service 2010","_pgen_pgoeffd"
"soep-fid","f10pgen","partno10","Partner number (in HH) 2010","_pgen_pgpartnr"
"soep-fid","f10pgen","partp10","Partner indicator (in HH) 2010","_pgen_pgpartz"
"soep-fid","f12h","f12h003g","Beurteilung  Whg.: Beziehungen/Kontakte Nachbarn","hwohn07"
"soep-fid","f10pgen","siops10","Treimans Standard Int. Occupation Prestige Score 2010","_pgen_pgsiops"
"soep-fid","f10pgen","occpos10","Occupational position 2010","_pgen_pgstib"
"soep-fid","f10pgen","traina10","Apprenticeship - two-digit occupation KldB92","_pgen_pgtraina"
"soep-fid","f11pgen","traina11","Apprenticeship - two-digit occupation KldB92","fid_"
"soep-fid","f10eltern2","f10e210b","Monate Kind gestillt","e2stil2"
"soep-fid","f10pgen","trainb10","Vocational school - two-digit occupation KldB92","_pgen_pgtrainb"
"soep-fid","f10eltern2","f10e211b","Erstmals bei Untersuchung U","e2storu"
"soep-fid","f10eltern2","f10e212a","Letzte durchgefuehrte     U-Untersuchung","e2unt"
"soep-fid","f10eltern2","f10e212b","Keine U-Untersuchung","e2untno"
"soep-fid","f10eltern2","f10e213a","Anzahl aerztl. Hilfe erste 3 Monate","e2arz2"
"soep-fid","f10eltern2","f10e213b","Keine aerztl. Hilfe erste 3 Monate","e2arz3"
"soep-fid","f10eltern2","f10e214a","Krankenhaus erste 3 Monate","e2ges1"
"soep-fid","f10eltern2","f10e214b","Anzahl Tage Krankenhaus","e2ges2"
"soep-fid","f12pgen","traind12","Civil servant training - two-digit occupation KldB92","fid_"
"soep-fid","f10eltern2","f10e216a","Krankenhausaufenthalt letzte 12 Monate","e2ges3"
"soep-fid","f10eltern2","f10e216b","Anzahl Tage im KH letzte 12 Monate","e2ges4"
"soep-fid","f10eltern2","f10e217a","Aerztliche Hilfe letzte 3 Monate","e2arz1"
"soep-fid","f10eltern2","f10e217b","Anzahl aerztl. Hilfe i. d. letzten 3 Monaten","e2arz2a"
"soep-fid","f12h","f12h014l","Wohnung mit sonst. Alternativer Energiequelle","hwohn22"
"soep-fid","f10pkal","f10p1a","Employed Full-Time Jan-Dec 2009","kal1a"
"soep-fid","f10pkal","f10p1a001","Employed Full-Time Jan 2009","kal1a001"
"soep-fid","f10pkal","f10p1a002","Employed Full-Time Feb 2009","kal1a002"
"soep-fid","f10pkal","f10p1a003","Employed Full-Time Mar 2009","kal1a003"
"soep-fid","f10pkal","f10p1a004","Employed Full-Time Apr 2009","kal1a004"
"soep-fid","f10pkal","f10p1a005","Employed Full-Time May 2009","kal1a005"
"soep-fid","f10pkal","f10p1a006","Employed Full-Time Jun 2009","kal1a006"
"soep-fid","f10pkal","f10p1a007","Employed Full-Time Jul 2009","kal1a007"
"soep-fid","f10pkal","f10p1a008","Employed Full-Time Aug 2009","kal1a008"
"soep-fid","f10pkal","f10p1a009","Employed Full-Time Sep 2009","kal1a009"
"soep-fid","f10pkal","f10p1d008","Registered Unemployed Aug 2009","kal1d008"
"soep-fid","f10pkal","f10p1d009","Registered Unemployed Sep 2009","kal1d009"
"soep-fid","f10pkal","f10p1d01","Registered Unemployed In Prev. Yr.","kal1d01"
"soep-fid","f10pkal","f10p1d010","Registered Unemployed Oct 2009","kal1d010"
"soep-fid","f10pkal","f10p1d011","Registered Unemployed Nov 2009","kal1d011"
"soep-fid","f10pkal","f10p1d012","Registered Unemployed Dec 2009","kal1d012"
"soep-fid","f10pkal","f10p1d02","Registered Unemployed No. Months Prev. Yr.","kal1d02"
"soep-fid","f10pkal","f10p1e","Retired Jan-Dec 2009","kal1e"
"soep-fid","f10pkal","f10p1e001","Retired Jan 2009","kal1e001"
"soep-fid","f10pkal","f10p1e002","Retired Feb 2009","kal1e002"
"soep-fid","f10pkal","f10p1e009","Retired Sep 2009","kal1e009"
"soep-fid","f10eltern2","f10e2pnr","Laufende Personennummer des Kindes","e2pnr"
"soep-fid","f10pkal","f10p1e010","Retired Oct 2009","kal1e010"
"soep-fid","f10pkal","f10p1e011","Retired Nov 2009","kal1e011"
"soep-fid","f10pkal","f10p1f004","Maternity Benefit Apr 2009","kal1f004"
"soep-fid","f10pkal","f10p1f005","Maternity Benefit May 2009","kal1f005"
"soep-fid","f10pkal","f10p1f006","Maternity Benefit Jun 2009","kal1f006"
"soep-fid","f12eltern2","f12e2pnr","Laufende Personennummer des Kindes","e2pnr"
"soep-fid","f10pkal","f10p1f009","Maternity Benefit Sep 2009","kal1f009"
"soep-fid","f10pkal","f10p1f01","Maternity Benefit In Prev. Yr.","kal1f01"
"soep-fid","f10pkal","f10p1f010","Maternity Benefit Oct 2009","kal1f010"
"soep-fid","f10pkal","f10p1f011","Maternity Benefit Nov 2009","kal1f011"
"soep-fid","f10pkal","f10p1f012","Maternity Benefit Dec 2009","kal1f012"
"soep-fid","f10pkal","f10p1f02","Maternity Benefit No. Months Prev. Yr.","kal1f02"
"soep-fid","f10pkal","f10p1g","In School, College Jan-Dec 2009","kal1g"
"soep-fid","f10pkal","f10p1g001","In School, College Jan 2009","kal1g001"
