"concept","label","topic"
"pnr","Lfde Personen-Nr. des Elternteils","T0406040100000000"
"e6not1","Schulnote Deutsch","T0704020000000000"
"e6not2","Schulnote Mathematik","T0704020000000000"
"e6ges1","Krankenhausaufenthalt letzte 12 Monate","T0501100000000000"
"e6ges2","Dauer Krankenhausaufent i. d. letzten 12 Mon. in Tg","T0502060000000000"
"e6arz1","Aerztl. Hilfe i. d. letzten 3 Monaten","T0502060000000000"
"e6arz2","Anzahl aerztl. Hilfe i. d. letzten 3 Monaten","T0502060000000000"
"ppgeb","Geburtsjahr","T0101000000000000"
"pgebmo","Geburtsmonat","T0101000000000000"
"e5ges1","Krankenhausaufenthalt letzte 12 Monate","T0501100000000000"
"e5ges2","Dauer Krankenhausaufent i.d.letzten 12 Mon.in Tg","T0502060000000000"
"e2arz2","Anzahl aerztl. Hilfe erste 3 Monate","T0502060000000000"
"e2ges1","Krankenhaus erste 3 Monate","T0502060000000000"
"jwich3","Wichtigkeit Bruder, Schwester",""
"jbez4m","Mutter zeigt Anerkennung",""
"jbez4v","Vater zeigt Anerkennung",""
"jbez5m","Probleme mit Mutter werden gemeinsam geloest",""
"pnr","Laufende Personennummer der Mutter/des Vaters","T1101000000000000"
"jbez8v","Vater begruendet Entscheidungen",""
"jbez9m","Mutter zeigt Liebe",""
"jbez9v","Vater zeigt Liebe",""
"jfz01","Haeufigkeit Fernsehen, Video","T0704010000000000"
"jfz02","Haeufigkeit Computerspiele","T0704010000000000"
"jfz14","Haeufigkeit im Internet","T0704010000000000"
"e2ges2","Anzahl Tage Krankenhaus","T0502060000000000"
"jfz04","Haeufigkeit Musik machen","T0704010000000000"
"jsch3a","Niveau Deutsch",""
"jwied3","Klassenstufe 2. Wdhg.",""
"jnach","Bezahlte Nachhilfe",""
"jelt1","Eltern kuemmern sich um Leistg",""
"jelt2","Eltern unterst. Lernen",""
"jelt3","Probleme mit Elt. Wegen Schulleistg",""
"jelt6","Eltern suchen Lehrer auf",""
"jelt7","Eltern sind Elternvertreter",""
"jelt8","Eltern machen nichts davon",""
"jausl","Anzahl auslaend. Mitschueler",""
"jaus01","Berufl. Ausbildung, Praktikum, Lehrgang",""
"jaus02","Berufsgrundschuljahr",""
"jaus02a","Berufsschuljahr reg. beendet",""
"jaus03","Berufl. Eingliederungslehrgang",""
"jaus03a","Berufl. Eingliederungslehrgang regulaer beendet",""
"w11intnr","Interviewer-Nummer","T1101000000000000"
"jauska","Angestrebte Ausbildung Gesamt k.A.",""
"jber08","Sichere Stellung wichtig",""
"jber09","Hohes Einkommen wichtig",""
"jber15","Kontakt wichtig",""
"jber16","Fuer Gesellschaft wichtig",""
"jber17","Arbeitsbedingungen  wichtig",""
"jber18","Zeit fuer Familie wichtig",""
"jber19","Anderen Helfen wichtig",""
"hvergl1","Kommunale Verguenstigungen fuer Geringverdiener","T0302010000000000"
"hger5","Bildungspaket (Hartz IV): Lernfoerderung","T0302010200000000"
"hger6","Bildungspaket (Hartz IV): Mittagessen","T0302010200000000"
"hvergl2","Schulbedarfspaket fuer Geringverdiener","T0302010000000000"
"hvergl3","Zuschuesse fuer Klassenfahrten fuer Geringverdiener","T0302010000000000"
"hvergl4","Keine Verguenstigungen fuer Geringverdiener","T0302010000000000"
"hger1","Bildungspaket (Hartz IV): Klassenfahrten","T0302010200000000"
"hger2","Bildungspaket (Hartz IV): Schulausfluege","T0302010200000000"
"hger3","Bildungspaket (Hartz IV): pers. Schulbedarf","T0302010200000000"
"hger4","Bildungspaket (Hartz IV): Befoerd. z. Schule","T0302010200000000"
"hger7","Bildungspaket (Hartz IV): Vereins- o. Mitgliedsbeitr.","T0302010200000000"
"hger8","Bildungspaket (Hartz IV): Komm. Verguenst.","T0302010200000000"
"hgerno","Bildungspaket (Hartz IV): Nichts davon","T0302010200000000"
"hunt4","Unterhalt geleistet Hoehe",""
"hspar3","Verhaeltnis Einnahmen zu Ausgaben",""
"hspar4","Einnahmeueberschuss jaehrlich Hoehe",""
"hspar6","Ausgabenueberschuss jaehrlich Hoehe",""
"hspar8","Art der Deckung des Fehlbetrages",""
"hi01","Auto im HH",""
"hi02a","Motorrad, Moped Anschafffung","T0608010000000000"
"hi02b","Motorrad, Moped Anschaffung Kosten","T0608010000000000"
"hi09","Mikrowelle im HH",""
"hi09a","Mikrowelle Anschafffung",""
"hi09b","Mikrowelle Anschaffung Kosten",""
"hi10","Geschirrspuelmaschine im HH",""
"hi10b","Geschirrspuelmaschine Anschaffung Kosten",""
"hi18","Tiefkuehltruhe im HH",""
"hi18a","Tiefkuehltruhe Anschafffung",""
"hi18b","Tiefkuehltruhe Anschaffung Kosten",""
"hi11","Waschmaschine im HH",""
"e2ges2","Anzahl Tage Krankenhaus","T0502060000000000"
"e2stil2","Monate Kind gestillt","T0501090000000000"
"e2storu","Erstmals bei Untersuchung U","T0502060000000000"
"hi19a","Waeschetrockner Anschafffung",""
"hi12a","Telefon(Festnetz) Anschafffung",""
"hi12b","Telefon(Festnetz) Anschaffung Kosten",""
"hi13","Handy (Mobiltelefon) im HH",""
"hi13a","Handy (Mobiltelefon) Anschafffung",""
"hi13b","Handy (Mobiltelefon) Anschaffung Kosten",""
"hi14","Faxgeraet im HH",""
"hi14a","Faxgeraet Anschafffung",""
"hi15","ISDN-Anschluss im HH",""
"hi15b","ISDN-Anschluss Anschaffung Kosten",""
"hi20","Ferienhaus/-wohnung im HH",""
"e2ges3","Krankenhausaufenthalt letzte 12 Monate","T0502060000000000"
"e2ges4","Anzahl Tage im KH letzte 12 Monate","T0502060000000000"
"e2arz1","Aerztliche Hilfe letzte 3 Monate","T0502060000000000"
"e2arz2a","Anzahl aerztl. Hilfe i. d. letzten 3 Monaten","T0502060000000000"
"haus01c","Ausgaben lebensmittel jaehrlich",""
"haus01ka","Ausgaben lebensmittel k.A.",""
"haus02a","Ausgaben Speisen/Getraenke ausser Haus",""
"haus02b","Ausgaben Speisen/Getraenke ausser Haus monatlich",""
"haus02c","Ausgaben Speisen/Getraenke ausser Haus jaehrlich",""
"haus02ka","Ausgaben Speisen/Getraenke ausser Haus k.A.",""
"haus03c","Ausgaben Bekleidung/Schuhe jaehrlich",""
"haus03ka","Ausgaben Bekleidung/Schuhe k.A.",""
"haus04a","Ausgaben Koerperpflege/Kosmetik/Friseur",""
"haus04b","Ausgaben Koerperpflege/Kosmetik/Friseur monatlich",""
"haus09c","Ausgaben Freizeit, Hobbies, Sport, Garten, Tiere jaehrlich",""
"haus09ka","Ausgaben Freizeit, Hobbies, Sport, Garten, Tiere k.A.",""
"haus10a","Ausgaben Urlaub",""
"haus10b","Ausgaben Urlaub monatlich",""
"haus10ka","Ausgaben Urlaub k.A.",""
"haus11a","Ausgaben lebens-/Rentenversicherung",""
"haus11b","Ausgaben lebens-/Rentenversicherung monatlich",""
"haus11c","Ausgaben lebens-/Rentenversicherung jaehrlich",""
"haus12a","Ausgaben andere Versicherungen",""
"haus12b","Ausgaben andere Versicherungen monatlich",""
"haus14ka","Ausgaben Verkehrsmittel k.A.",""
"haus15a","Ausgaben Moebel, HH-Geraete",""
"haus15b","Ausgaben Moebel, HH-Geraete monatlich",""
"haus15c","Ausgaben Moebel, HH-Geraete jaehrlich",""
"haus15ka","Ausgaben Moebel, HH-Geraete k.A.",""
"haus16a","Ausgaben Sonstige Ausgaben",""
"e6tg1","Kind erhaelt Taschengeld","T0405000000000000"
"e6tg2","Hoehe des Taschengeldes woechentl.","T0405000000000000"
"e6tg3","Hoehe des Taschengeldes monatl.","T0405000000000000"
"e6form","Art des Interviews","T1106000000000000"
"e6pnr","Lfde Personen-Nr. des Kindes","T0406040100000000"
"pnr","Lfde Personen-Nr. des Elternteils","T0406040100000000"
"psex","Geschlecht","T0102000000000000"
"prel","Religionszugehoerigkeit","T0804000000000000"
"pna04","Umgangssprache","T1002040000000000"
"preg","Arbeitszeitregelung","T0204020000000000"
"paz15","Abendarbeit","T0204020000000000"
"paz16","Nachtarbeit","T0204020000000000"
"paz17","Samstagsarbeit","T0204020000000000"
"paz18","Sonntagsarbeit","T0204020000000000"
"lzug01","Zuzug in BRD","T1001010200000000"
"lzug02","Zuwanderergruppe","T1001010200000000"
"lsab1","Jahr letzter Schulbesuch",""
"lsab2","Gehe noch zur Schule",""
"lsab3","Land letzter Schulbesuch",""
"lsab4","Dauer Schulbesuch im Ausland (in Jahren)",""
"lsab5","Schulabschluss",""
"lbund","BuLa Schulbesuch, Code",""
"lsab7","Art des Schulabschlusses",""
"lsab10","Wieviele Mitschueler Auslaender?",""
"lsab11","Schulabschluss angestrebt",""
"lsab12","Art Schulabschluss angestrebt",""
"lab01","Berufsausb. in Dtschl.",""
"lab02","Lehre, Facharbeiterabschluss",""
"lab02j","Lehre, Facharbeiterabschluss Jahr",""
"lab03","Berufsfachsch., Handelss, Gesundh.",""
"lab03j","Berufsfachsch., Handelss, Gesundh. Jahr",""
"lab04","Fachschule",""
"lab04j","Fachschule Jahr",""
"lab05","Beamtenausbildung",""
"lab05j","Beamtenausbildung Jahr",""
"lab06","Fachhochschule, Berufsakademie",""
"lab06j","Fachhochschule, Berufsakademie Jahr",""
"lab07","Universitaet, Hochschule",""
"lab07j","Universitaet, Hochschule Jahr",""
"lab40","Promotion",""
"lab40j","Promotion Jahr",""
"lab08","Sonstiger Ausbildungsabschluss",""
"lab08j","Sonstiger Ausbildungsabschluss Jahr",""
"lab08ka","Gesamt k.A. Ausbildungsabschluss",""
"lab10","Ausbildung ausserhalb Dtschlds.",""
"lab11","Art der Ausbildung: im Betrieb angelernt",""
"lab12","Art der Ausbildung: laengere Ausbildung",""
"lab13","Art der Ausbildung: berufsbildende Schule",""
"lab14","Art der Ausbildung: Hochschule",""
"lab15","Art der Ausbildung: sonstiges",""
"lab15ka","Art der Ausbildung: k.A.",""
"lab16","Jahr des Ausb.abschlusses",""
"lab17","Zeugnis Ausbildung",""
"lab18","Anerkennung Abschluss",""
"lab19","Berufl. Abschluss angestrebt",""
"lab20","Abschluss einer Lehre",""
"lab21","Berufsfachschule",""
"lab22","Fachschule, Meister-, Technikerschule",""
"lab23","Beamtenausbildung",""
"lab24","Anerkannte Berufsakademie",""
"lab25","Fachhochschule",""
"lab26","Universitaet",""
"lab26ka","Gesamt k.A. angestr. Abschluss",""
"lwohnj","Jahr Einzug Wohnung","T0604020000000000"
"l2wohn1","Zweitwohnung",""
"l2wohn2","West-, Ostdeutschland, Ausland?",""
"l2wohn3","Wohnungsnutzung",""
"l2wohn4","Wohnung am Arbeitsort",""
"lkno","Keine Kinder",""
"lkgeb1","Geburtsjahr Kind 1","T0101000000000000"
"lksex1","Geschlecht Kind 1","T0102000000000000"
"lkwo1","Wohnort Kind 1","T0104000000000000"
"lkgeb2","Geburtsjahr Kind 2","T0101000000000000"
"lksex2","Geschlecht Kind 2","T0102000000000000"
"lkwo2","Wohnort Kind 2","T0104000000000000"
"lkgeb3","Geburtsjahr Kind 3","T0101000000000000"
"lksex3","Geschlecht Kind 3","T0102000000000000"
"lkwo3","Wohnort Kind 3","T0104000000000000"
"lkgeb4","Geburtsjahr Kind 4","T0101000000000000"
"lksex4","Geschlecht Kind 4","T0102000000000000"
"lkwo4","Wohnort Kind 4","T0104000000000000"
"lkgeb5","Geburtsjahr Kind 5","T0101000000000000"
"lksex5","Geschlecht Kind 5","T0102000000000000"
"lkwo5","Wohnort Kind 5","T0104000000000000"
"lkgeb6","Geburtsjahr Kind 6","T0101000000000000"
"lksex6","Geschlecht Kind 6","T0102000000000000"
"lkwo6","Wohnort Kind 6","T0104000000000000"
"lkgeb7","Geburtsjahr Kind 7","T0101000000000000"
"lksex7","Geschlecht Kind 7","T0102000000000000"
"lkwo7","Wohnort Kind 7","T0104000000000000"
"lkgeb8","Geburtsjahr Kind 8","T0101000000000000"
"lksex8","Geschlecht Kind 8","T0102000000000000"
"lkwo8","Wohnort Kind 8","T0104000000000000"
"pehe1a","Verheiratet",""
"pehe2a","Jahr der Eheschliessung",""
"pehe1b","Verheiratet Ex 1","T0402020100000000"
"pehe2b","Eheschliessung Jahr Ex 1","T0402020100000000"
"pehe3b","Scheidung Ex 1","T0402020300000000"
"pehe1c","Verheiratet Ex 2","T0402020100000000"
"pehe2c","Eheschliessung Jahr Ex 2","T0402020100000000"
"pehe3c","Scheidung Ex 2","T0402020300000000"
"pp1a","Derzeit feste Partnerschaft","T0406040100000000"
"ppja","Aktuelle Beziehung besteht seit Jahr",""
"pp2a","Wohnt Partner,-in im Haushalt","T0406040100000000"
"ppleba","Frueher mit aktuellem Partner zusammengelebt","T0406040100000000"
"pplebja","Gemeinsame Wohnung mit aktuellem Partner aufgegeben (Jahr)","T0406040100000000"
"pp1b","Filterfrage weitere Beziehungen Ex 1",""
"pp1c","Filterfrage weitere Beziehungen Ex 2",""
"pp1d","Filterfrage weitere Beziehungen Ex 3",""
"ppjb","Beginn der Beziehung Jahr Ex 1",""
"ppjc","Beginn der Beziehung Jahr Ex 2",""
"ppjd","Beginn der Beziehung Jahr Ex 3",""
"ppend1b","Ende der Beziehung Jahr Ex 1","T0402020400000000"
"ppend2b","Ende der Beziehung Grund Ex 1","T0402020400000000"
"ppend1c","Ende der Beziehung Jahr Ex 2","T0402020400000000"
"ppend2c","Ende der Beziehung Grund Ex 2","T0402020400000000"
"ppend1d","Ende der Beziehung Jahr Ex 3","T0402020400000000"
"ppend2d","Ende der Beziehung Grund Ex 3","T0402020400000000"
"ppleb1b","Mit Partner zusammen gewohnt Ex 1","T0402020200000000"
"ppleb1c","Mit Partner zusammen gewohnt Ex 2","T0402020200000000"
"ppleb1d","Mit Partner zusammen gewohnt Ex 3","T0402020200000000"
"ppleb2b","Wann zusammen gezogen Jahr Ex 1","T0402020200000000"
"ppleb2c","Wann zusammen gezogen Jahr Ex 2","T0402020200000000"
"ppleb2d","Wann zusammen gezogen Jahr Ex 3","T0402020200000000"
"ppleb3b","Wann auseinandergezogen Jahr Ex 1","T0402021100000000"
"ppleb4b","Nicht auseinander gezogen Ex 1","T0402021100000000"
"ppleb3c","Wann auseinandergezogen Jahr Ex 2","T0402021100000000"
"ppleb4c","Nicht auseinander gezogen Ex 2","T0402021100000000"
"ppleb3d","Wann auseinandergezogen Jahr Ex 3","T0402021100000000"
"ppleb4d","Nicht auseinander gezogen Ex 3","T0402021100000000"
"pehe1d","Verheiratet Ex 3","T0402020100000000"
"pehe2d","Eheschliessung Jahr Ex 3","T0402020100000000"
"pehe3d","Scheidung Ex 3","T0402020300000000"
"pehe4b","Scheidung Jahr Ex 1","T0402020300000000"
"pehe4c","Scheidung Jahr Ex 2","T0402020300000000"
"pehe4d","Scheidung Jahr Ex 3","T0402020300000000"
"pehe1e","Verheiratet in nicht genannter Beziehung","T0402020100000000"
"pehe2e","Jahr der Eheschliessung (nicht genannte Beziehung)","T0402020100000000"
"pehe5e","Bestand der Ehe (Nicht genannte Beziehung)","T0402020100000000"
"pehe6e","Ende der Beziehung (Nicht genannte Beziehung) Jahr","T0402020400000000"
"pehe7e","Ende der Beziehung (Nicht genannte Beziehung) Grund","T0402020400000000"
"jaus02","Berufsgrundschuljahr",""
"ppnr","Lfd. PNR d. Partners","T0406040100000000"
"lkind","Anzahl Kinder","T1102000000000000"
"pmusp1","Muttersprache deutsch: beide Eltern",""
"pmusp2","Sprechkompetenz: deutsch",""
"pmusp3","Schreibkompetenz: deutsch",""
"pmusp6","Lesekompetenz: deutsch",""
"pmusp4","Sprechkompetenz: Herkunfts-,Elternsprache",""
"pmusp5","Schreibkompetenz: Herkunfts-,Elternsprache",""
"pmusp7","Lesekompetenz: Herkunfts-,Elternsprache",""
"jaus07","Ausbildungs,Hochschulabschluss - angestrebt",""
"jaus08","Abschluss einer Lehre",""
"jaus09","Berufsfachschule",""
"jaus10","Fachschule, Meister-, Technikerschule",""
"jaus11","Beamtenausbildung",""
"jaus12","Anerkannte Berufsakademie",""
"jaus13","Fachhochschule",""
"jaus14","Universitaet",""
"jaus15","Alter wirtschtliche Unabhaengigkt.",""
"jaus16","Bereits wirtschlich unabhaengig?",""
"jauska","Angestrebte Ausbildung Gesamt k.A.",""
"jausl","Anzahl auslaend. Mitschueler",""
"jber01","Berufswunsch vorhanden?",""
"jber03","Wie gut ueber angestrebten Beruf informiert",""
"jber04","Berufswahl, Vorschlaege der Eltern wichtig",""
"lschj","Jahr der Einschulung",""
"phaus1","Heimarbeit","T0203040100000000"
"phaus2","Heimarbeit wie haeufig","T0203040100000000"
"pwich1","Wichtigkeit: Sich etwas leisten koennen","T0802030000000000"
"pwich2","Wichtigkeit: Fuer andere da sein","T0802030000000000"
"pwich3","Wichtigkeit: Sich selbst verwirklichen","T0802030000000000"
"pwich4","Wichtigkeit: Erfolg im Beruf haben","T0802030000000000"
"pwich5","Wichtigkeit: Ein eigenes Haus haben","T0802030000000000"
"pwich6","Wichtigkeit: Glueckliche Ehe, Partnerschaft haben","T0802030000000000"
"pwich7","Wichtigkeit: Kinder haben","T0802030000000000"
"pwich8","Wichtigkeit: Sich politisch, gesellschaftlich einsetzen","T0802030000000000"
"pwich9","Wichtigkeit: Die Welt sehen, viele Reisen","T0802030000000000"
"psor15","Sorgen Gesundheit der Kinder","T0801040000000000"
"lgebmo","Geburtsmonat","T0501010000000000"
"lgeb","Geburtsjahr","T0501010000000000"
"peink1","Regelung mit Ehe-,Partner im Umgang mit Einkommen","T0301010300000000"
"pwort","Letztes Wort finanzielle Entscheidung","T0301010300000000"
"lsta1","In Deutschland geboren?","T1001010200000000"
"psta1a","Deutsche Staatsangehoerigkeit","T1001010200000000"
"psta2a","2. Staatsangehoerigkeit vorhanden","T1001010200000000"
"lsta2nr","Geburtsland Code","T1001010200000000"
"psta2nr","Land zweiter Staatsangehoerigkeit","T1001010200000000"
"psta3a","Zeitpunkt Erwerb deutscher Staatsangehoerigkeit","T1001010200000000"
"pnatnr","Staatsangehoerigkeit","T1001010200000000"
"pwexelt","Unterbrechung wegen Elternzeit/Mutterschutz","T0205010000000000"
"pek20","Kindesunterhalt","T0302020500000000"
"pek201","Kindesunterhalt Bruttobetrag pro Monat","T0302020500000000"
"pek21","Betreuungsunterhalt","T0302020500000000"
"pek211","Betreuungsunterhalt Bruttobetrag pro Monat","T0302020500000000"
"pek22","Nachehelicher Unterhalt","T0302020500000000"
"pek221","Nachehelicher Unterhalt Bruttobetrag pro Monat","T0302020500000000"
"jbez9m","Mutter zeigt Liebe",""
"jbez9v","Vater zeigt Liebe",""
"lsab10","Wieviele Mitschueler Auslaender?",""
"lsab11","Schulabschluss angestrebt",""
"lsab12","Art Schulabschluss angestrebt",""
"jego01","Persoenliche Eigenschaften: gruendlich Arbeiten",""
"jego02","Persoenliche Eigenschaften: kommunikativ",""
"jego03","Persoenliche Eigenschaften: grob zu anderen",""
"jego04","Persoenliche Eigenschaften: neue Ideen einbringen",""
"jego05","Persoenliche Eigenschaften: oft Sorgen machen",""
"jego06","Persoenliche Eigenschaften: kann verzeihen",""
"jego07","Persoenliche Eigenschaften: faul sein",""
"jego08","Persoenliche Eigenschaften: gesellig sein",""
"jego09","Persoenliche Eigenschaften: Aesthetik schaetzen",""
"jego10","Persoenliche Eigenschaften: nervoes sein",""
"jego11","Persoenliche Eigenschaften: Aufgaben effizient erledigen",""
"jego12","Persoenliche Eigenschaften: zurueckhaltend",""
"jego13","Persoenliche Eigenschaften: ruecksichtsvoll, freundlich",""
"jego14","Persoenliche Eigenschaften: lebhafte Phantasie",""
"jego15","Persoenliche Eigenschaften: entspannt sein, kein Stress",""
"jego16","Persoenliche Eigenschaften: wissbegierig",""
"jego17","Persoenliche Eigenschaften: positives Selbstbild",""
"jelt1","Eltern kuemmern sich um Leistg",""
"jelt2","Eltern unterst. Lernen",""
"jelt3","Probleme mit Elt. Wegen Schulleistg",""
"jelt4","Eltern besuchen Elternabende",""
"jelt5","Eltern besuchen Sprechtage",""
"jelt6","Eltern suchen Lehrer auf",""
"jelt7","Eltern sind Elternvertreter",""
"jelt8","Eltern machen nichts davon",""
"jempf","Empfehlung nach der Grundschule",""
"jeng1","Engag. Klassensprecher",""
"jeng2","Engag. Schulsprecher",""
"jeng3","Engag. Schuelerzeitung",""
"jeng4","Engag. Theater, Tanz",""
"jeng5","Engag. Chor, Musik",""
"jeng6","Engag. Sport-AG",""
"jeng7","Engag. sonst. Gruppe",""
"jeng8","Kein Engagement",""
"jerf01","Erfolg durch: Fleiss",""
"jerf02","Erfolg durch: Ausnutzen anderer",""
"jerf03","Erfolg durch: Intelligenz",""
"jerf04","Erfolg durch: familiaere Herkunft",""
"jerf05","Erfolg durch: Fachkenntnisse",""
"jerf06","Erfolg durch: Geld",""
"jerf07","Erfolg durch: Schulabschluss",""
"jerf08","Erfolg durch: hart sein",""
"jerf09","Erfolg durch: Beziehungen",""
"jerf10","Erfolg durch: politisches Engagement",""
"jerf11","Erfolg durch: Mann sein",""
"jerf12","Erfolg durch: Initiative",""
"ppjb","Beginn der Beziehung Jahr Ex 1",""
"jfz01","Haeufigkeit Fernsehen, Video","T0704010000000000"
"jfz02","Haeufigkeit Computerspiele","T0704010000000000"
"jfz03","Haeufigkeit Musik hoeren","T0704010000000000"
