study,questionnaire,question,item,template.id,text_de,instruction_de,text,instruction,scale,answer_list,filter,goto,concept,description,number
soep-core,soep-core-2014-vp,15,vhil4,,"Schwierigeren Pflegetätigkeiten, z.B. Hilfe beim Umbetten, Stuhlgang usw.",,"Major care, such as getting in and out of bed, bowel movements",,bin,,,,vhil4,,15
soep-core,soep-core-2014-vp,16,,,"Denken Sie bitte einmal an die Zeit bevor Ihr Angehöriger / Ihre Angehörige verstarb. Was meinen Sie: 
Wie zufrieden war er oder sie, alles in allem, mit seinem oder ihrem damaligen Leben?","Antworten Sie bitte anhand der folgenden Skala, 
bei der ""0"" ganz und gar unzufrieden, ""10"" ganz und gar zufrieden bedeutet. ","

Think about the period of time before your relative passed away. How satisfied do you think he/she was with his/her life overall?","Please answer on a scale from 0 to 10, where 0 means completely dissatisfied and 10 means completely satisfied.",txt,,,,,"Researcher Notes:
Skala soll 0 bis 10 sein
",16
soep-core,soep-core-2014-vp,16,vzule1,,Etwa ein Jahr vor seinem/ihrem Tod,,One year before his/her death,,cat,vzul x,,,vzule1,,16
soep-core,soep-core-2014-vp,16,vzule2,,Etwa drei Monate vor seinem/ihrem Tod,,About three months before his/her death,,cat,vzul x,,,vzule2,,16
soep-core,soep-core-2014-vp,17,,,"Zum Schluss eine Frage an Sie persönlich:
In welchem Umfang hat sich Ihr Leben durch den Tod Ihres Angehörigen verändert?",,"Finally a personal question to you:
To what extent has the death of your relative changed your life?",,cat,vver,,,vver,,17
soep-core,soep-core-2014-vp,A,,,Welches Datum haben wir heute und um wie viel Uhr haben Sie den Fragebogen beendet?,,What is the date today and at what time did you finish filling out the questionnaire?,,txt,,,,,,A
soep-core,soep-core-2014-vp,A,vdatt,,Tag,,Day,,int,,,,vdatt,,A
soep-core,soep-core-2014-vp,A,vdatm,,Monat,,Month,,int,,,,vdatm,,A
soep-core,soep-core-2014-vp,A,vdatst,,Stunde,,Houre,,int,,,,vdatst,,A
soep-core,soep-core-2014-vp,A,vdatmi,,Minute,,Minute,,int,,,,vdatmi,,A
soep-core,soep-core-2014-vp,A,vform,,Befragungsform,,How was the interview conducted?,,chr,,,,vform,,A
soep-core,soep-core-2014-vp,A,2,,Interviewer,,Interviewer,,txt,,,,,,A
soep-core,soep-core-2014-vp,A,listnr,,Listen-Nr.,,List No.,,chr,,,,listnr,,A
soep-core,soep-core-2014-vp,A,lfdnr,,Lfd-Nr.,,Consecutive no.,,chr,,,,lfdnr,,A
soep-core,soep-core-2014-vp,A,vintnr,,Abrechnungs-Nummer,,Accounting no.,,chr,,,,vintnr,,A
